Wall time,Step,Value
1750578949.201601,19,-27.782602310180664
1750578949.2793841,48,-11.8496732711792
1750578949.3166425,63,-17.812795639038086
1750578949.3189652,64,-21.626920700073242
1750578949.3803427,90,-15.815159797668457
1750578949.4172213,104,-11.609228134155273
1750578949.425039,108,-13.794739723205566
1750578949.474453,129,-19.52024269104004
1750578949.572572,165,-32.524654388427734
1750578949.5933635,173,-12.702962875366211
1750578949.6474981,192,-23.27102279663086
1750578949.902002,245,-11.891519546508789
1750578949.9746635,260,-22.03901481628418
1750578950.086613,283,-11.046610832214355
1750578950.249098,320,-24.80817985534668
1750578950.3936045,367,-11.983319282531738
1750578950.4402716,387,-14.783905982971191
1750578950.4848902,403,-20.495819091796875
1750578950.5249157,416,-23.006832122802734
1750578950.5840142,438,-16.64638328552246
1750578950.659813,466,-23.978965759277344
1750578950.6826704,476,-10.556500434875488
1750578950.701134,482,-19.944612503051758
1750578950.7727604,511,-24.336984634399414
1750578950.9025724,534,-17.95782470703125
1750578950.9294856,539,-21.238157272338867
1750578950.937446,541,-16.880264282226562
1750578951.0028527,557,-18.556350708007812
1750578951.1190457,597,-18.931943893432617
1750578951.2322211,638,-17.11815071105957
1750578951.2561352,644,-21.02566909790039
1750578951.2579503,645,-18.24024772644043
1750578951.302201,659,-19.08431625366211
1750578951.3636022,676,-13.40615177154541
1750578951.7046957,765,-9.488652229309082
1750578951.753033,776,-17.42460823059082
1750578951.8600237,805,-16.284194946289062
1750578952.0546484,858,-16.94721031188965
1750578952.0822825,867,-11.322832107543945
1750578952.1361783,887,-21.62519073486328
1750578952.3119903,943,-24.435718536376953
1750578952.438108,1000,-20.320253372192383
1750578952.4992855,1016,-18.728273391723633
1750578952.8233538,1027,-12.136321067810059
1750578953.1913228,1038,-17.771039962768555
1750578953.8567352,1057,-12.502141952514648
1750578954.3690593,1072,-12.126330375671387
1750578955.7090032,1112,-11.763717651367188
1750578956.1533415,1126,-18.6236572265625
1750578956.3780737,1133,-15.892387390136719
1750578957.041211,1153,-20.88796043395996
1750578957.4383256,1165,-20.636821746826172
1750578957.7460282,1175,-22.804292678833008
1750578957.8119338,1177,-14.34984302520752
1750578958.0791862,1185,-9.682507514953613
1750578959.1942356,1219,-10.48651123046875
1750578960.2872853,1253,-16.510496139526367
1750578960.3452234,1255,-9.472254753112793
1750578960.443269,1258,-12.918299674987793
1750578960.737581,1268,-23.53742790222168
1750578960.8883305,1272,-20.112735748291016
1750578962.633143,1326,-26.283546447753906
1750578963.3027618,1346,-10.489638328552246
1750578964.3245,1377,-17.066530227661133
1750578965.6783135,1418,-20.445964813232422
1750578967.0419216,1458,-15.455681800842285
1750578967.0772018,1459,-16.97827911376953
1750578968.2887936,1495,-9.357807159423828
-1,1500,-8.82851059
1750578968.8567655,1511,-19.331695556640625
1750578968.9731843,1514,-12.106029510498047
1750578970.2066686,1549,-11.103445053100586
1750578970.3169553,1552,-19.975543975830078
1750578970.8445005,1566,-9.284475326538086
1750578971.9320343,1597,-12.133418083190918
1750578973.0529075,1628,-7.101341247558594
1750578973.3407927,1636,-12.810311317443848
1750578974.6828496,1671,-18.464641571044922
1750578975.2165852,1686,-12.284032821655273
1750578975.8718135,1703,-18.02908706665039
1750578975.9442384,1705,-19.242115020751953
1750578976.1840925,1712,-19.89400863647461
1750578978.6777592,1778,-19.703466415405273
1750578981.2284656,1848,-17.776546478271484
1750578981.7271318,1861,-19.36927604675293
1750578983.161411,1900,-12.179844856262207
1750578983.5283687,1910,-19.874225616455078
1750578984.689991,1941,-45.0
1750578985.3939767,1961,-13.097206115722656
1750578985.43076,1962,-12.177327156066895
1750578986.0964053,1980,-8.456364631652832
1750578989.5260344,2071,-12.822938919067383
1750578989.8438501,2080,-12.61918830871582
1750578990.2271411,2090,-8.47502326965332
1750578990.621161,2101,-11.820420265197754
1750578994.6857593,2210,-12.314903259277344
1750578998.7931154,2320,-19.399539947509766
1750579000.3460805,2360,-11.194067001342773
1750579001.6883533,2395,-12.25664234161377
1750579003.2404585,2437,-11.985421180725098
1750579003.4415836,2442,-17.470394134521484
1750579003.9220707,2455,-18.49384117126465
1750579004.2083118,2463,-7.056408882141113
1750579004.2985601,2466,-20.0
1750579004.9911797,2486,-7.8306074142456055
1750579005.667293,2504,-7.965144157409668
1750579006.174043,2518,-8.041644096374512
1750579006.700942,2531,-6.39042854309082
1750579008.4179516,2578,-11.177252769470215
1750579008.4590397,2579,-12.598637580871582
1750579009.2022135,2600,-10.99405574798584
1750579010.2244344,2628,-5.699488162994385
1750579010.5250604,2636,-11.626605987548828
1750579010.8088377,2644,-7.373636245727539
1750579012.3677213,2685,-5.958695411682129
1750579012.7063715,2694,-13.362627983093262
1750579013.2742996,2709,-8.162530899047852
1750579013.5899901,2718,-7.755937576293945
1750579014.1777575,2735,-8.668966293334961
1750579014.382338,2741,-9.23586368560791
1750579014.849467,2754,-7.469110012054443
1750579014.8890202,2755,-8.450057029724121
1750579014.9176126,2756,-9.2855224609375
1750579015.397969,2769,-5.0
1750579016.0187936,2786,-9.021827697753906
1750579016.992911,2813,-8.884439468383789
1750579017.793134,2835,-8.422598838806152
1750579018.147365,2845,-9.190186500549316
1750579018.7870393,2862,-8.110730171203613
1750579022.4935145,2963,-10.054654121398926
1750579022.8742607,2974,-9.174221992492676
1750579026.9365919,3084,-12.765974044799805
1750579026.9697733,3085,-8.337307929992676
1750579027.7044508,3105,-6.61130952835083
1750579027.7428296,3106,-8.613020896911621
1750579028.2989106,3121,-11.513829231262207
