0,4,44201648E-09
0,2097905,4,66598391E-09
0,419778,3,99408163E-09
0,6297648,5,86047685E-09
0,8497683,4,81529553E-09
1,0697373,5,412542E-09
1,269725,3,54614678E-09
1,469713,-6,34578509E-10
1,679702,2,94890031E-09
1,8896877,5,33788619E-09
2,0997378,5,18857457E-09
2,3096615,4,88995134E-09
2,6496851,9,49248566E-08
2,7096372,-1,13663473E-07
2,7696344,-1,2583237E-07
2,8296302,3,34084703E-08
2,8896288,-1,30535686E-07
2,9596222,-1,32178113E-07
3,019619,1,36060207E-07
3,0896142,8,69739758E-09
3,1396112,1,46138741E-07
3,2096072,-1,35164346E-07
3,2796028,1,40539556E-07
3,3395989,1,13290186E-07
3,3895968,-1,17321608E-07
3,4497076,-1,28594635E-07
3,5195878,-5,38641701E-08
3,5595853,1,46362709E-07
3,6195817,1,43525788E-07
3,6795688,1,2941584E-07
3,7295418,-1,02913036E-07
3,7996382,1,46661332E-07
3,8595672,6,71528958E-08
3,9095638,-1,2583237E-07
3,9795234,1,3583624E-07
4,0295201,-1,10751896E-07
4,0795167,1,38747816E-07
4,1496276,-1,32476737E-07
4,2095437,-6,45399508E-08
4,2496177,-1,28221356E-07
4,3195385,1,26130985E-07
4,3794822,-5,03927122E-09
4,4195326,1,40688867E-07
4,4894939,5,56559013E-08
4,5395253,6,84220446E-08
4,589522,-1,24189942E-07
4,6595176,1,75814388E-08
4,7095152,4,51667229E-09
4,7595115,1,43301821E-07
4,8294545,5,92393801E-08
4,8794594,8,62647828E-08
4,9294812,-9,64926369E-08
4,9994834,1,32551384E-07
5,0495035,-1,27922732E-07
5,109439,-1,34343132E-07
5,1694373,-1,3187949E-07
5,2294293,-1,25384435E-07
5,2794529,1,40987491E-07
5,3394248,1,19486618E-07
5,3995942,-2,05676794E-08
5,4496813,-1,28370667E-07
5,5094311,-1,32103458E-07
5,5594129,1,48975662E-07
5,6094595,-1,04182185E-07
5,6694538,-1,10826552E-07
5,7194532,1,404649E-07
5,7894473,-1,30834309E-07
5,8594442,8,2308025E-08
5,919439,3,430434E-08
5,9694348,-1,12021045E-07
6,0294336,-1,22846137E-07
6,0894303,3,45283074E-08
6,1394278,1,50319467E-07
6,1994726,1,47258579E-07
6,2594221,3,8186442E-08
6,2996174,1,23816655E-07
6,3594116,-4,8153038E-09
6,4094102,-1,26952207E-07
6,4794038,1,47183923E-07
6,5494377,-8,46970191E-08
6,6093473,-2,91530974E-08
6,6593939,1,31356891E-07
6,7193916,1,43227165E-07
6,779346,9,22372475E-08
6,8293425,-1,34268476E-07
6,8994121,1,04107521E-07
6,9593758,2,25087222E-08
7,009337,-1,2030784E-07
7,0793701,1,44570969E-07
7,1393658,1,47183923E-07
7,199358,1,50842057E-07
7,2493727,-9,64179811E-08
7,3093025,-1,13812785E-07
7,3792982,-1,90372726E-09
7,4292954,-1,9511296E-07
7,4892914,-9,97028367E-08
7,549363,-1,29863783E-07
7,5994566,1,60024722E-07
7,6692806,-1,74060022E-07
7,7292772,-1,39195759E-07
7,779274,7,30507047E-08
7,8493241,-1,11946389E-07
7,9092665,-1,43003206E-07
7,9692623,-1,63981488E-07
8,0369098,-1,89140496E-07
8,112355,-1,98621783E-07
8,1903109,-8,82804979E-08
8,2442974,2,0974549E-07
8,2992482,2,58682336E-08
8,3612313,1,70625847E-07
8,4101845,-1,3971835E-07
8,4691507,-1,1388744E-07
8,5481045,1,39270407E-07
8,6090713,-3,68426457E-08
8,6674659,-6,45773159E-09
8,7291129,3,34831261E-08
