0,1,30647252E-09
0,2099866,1,53043994E-09
0,4199741,1,30647252E-09
0,6299585,1,9783748E-09
0,8400219,1,60509575E-09
1,0498803,1,45578413E-09
1,2598876,1,38112833E-09
1,4799083,1,75440737E-09
1,6798957,1,82906318E-09
1,8899531,1,90371899E-09
2,0999523,2,0530306E-09
2,3098233,1,82906318E-09
2,5198447,2,0530306E-09
2,7298316,2,12768641E-09
2,9399153,2,20234222E-09
3,1498748,2,50096546E-09
3,3597929,2,35165384E-09
3,56978,2,35165384E-09
3,7797672,2,57562127E-09
3,9897977,2,12768641E-09
4,1997412,1,53043994E-09
4,4097287,1,9783748E-09
4,6197159,2,20234222E-09
4,8297028,1,75440737E-09
5,0397623,1,82906318E-09
5,2496771,1,75440737E-09
5,4596642,1,08250509E-09
5,6696514,1,45578413E-09
5,8896584,1,53043994E-09
6,0996261,2,0530306E-09
6,2997013,2,20234222E-09
6,5096006,2,57562127E-09
6,7195873,2,27699803E-09
6,9295744,2,20234222E-09
7,1396269,2,35165384E-09
7,3495494,7,35359302E-09
7,5595354,6,38306751E-09
7,7695234,1,18142813E-07
7,9795098,3,22097634E-05
8,2194934,3,22097634E-05
8,3994883,3,22097634E-05
8,6094716,0,0959641774
8,8194585,0,0959641774
9,0294458,0,0959641774
9,2395074,0,0959641774
9,4494199,0,0644806501
9,6594081,0,0644877938
9,8693942,0,0644924946
10,079382,0,0644927167
10,289447,0,0644833892
10,4993558,0,0645003786
10,7193421,0,0645134816
10,9193303,0,0645137407
11,1395507,0,0645166648
11,3493039,0,0645184044
11,5592908,0,0645196259
11,7692778,0,0645208103
11,97923,0,0645197369
12,189394,0,0645070041
12,3992395,0,0645088178
12,6092262,0,0645149991
12,8192136,0,0645166648
13,0292005,0,0645159615
13,2491882,0,0645154433
13,4591725,0,0645158134
13,6691624,0,0645149251
13,8791486,0,0645742215
14,0892087,0,0666561487
14,299123,0,0723319515
14,5291089,0,0723375777
14,7190971,0,0723406868
14,9290824,0,0723401686
15,1391483,0,0723341354
15,3490583,0,072327917
15,5590021,0,0781884197
15,769034,0,123199162
15,9790207,0,151763987
16,1890918,0,148973611
16,3989954,0,147897392
16,6089818,0,154052452
16,8189687,0,168743425
17,0289552,0,173833296
17,248943,0,172965132
