0,0,0977554095
0,2099268,0,0975217297
0,4199285,0,0975966571
0,629954,0,0977067067
0,8399415,0,097547486
1,0499428,0,0982119982
1,2598626,0,100332443
1,4799067,0,0988624615
1,6798487,0,0976907846
1,8898765,0,0974992515
2,0999092,0,0974819246
2,3098521,0,0978144148
2,5198383,0,100229418
2,729824,0,100945911
2,9398133,0,0986877871
3,1498449,0,0977460436
3,3597873,0,0976547258
3,5697746,0,0980490312
3,7797618,0,0978809129
3,989747,0,0975072126
4,1998056,0,0975587251
4,4097223,0,0993499578
4,6197095,0,0994169241
4,8296974,0,0975905693
5,0396841,0,0975067443
5,2497398,0,0974903539
5,4596568,0,0994361243
5,6796456,0,106457756
5,879633,0,112468805
6,0896201,0,100116559
6,2996764,0,0975048711
6,5095944,0,0974945686
6,7195815,0,097501593
6,9295684,0,0975184517
7,1395552,0,0975114272
7,3496199,0,0980986706
7,5595292,0,100152149
7,7695168,0,0982546132
7,9795038,0,0975090858
8,1894907,0,0974852027
8,3995494,0,0978331467
8,6094654,0,100266882
8,8194528,0,101091551
9,0294396,0,097569496
9,239427,0,0975011247
9,4495037,0,0975020613
9,6594022,0,104846818
9,8793856,0,130706129
10,0893746,0,120701919
10,2893624,0,101505993
10,4993923,0,0976757992
10,7093367,0,097556852
10,9193246,0,0975479543
11,1293111,0,0975432714
11,3392993,0,0988118856
11,5493573,0,101099512
11,7592722,0,100258452
11,9692603,0,0978350199
12,1792472,0,0975207932
12,3892342,0,0975306274
12,5993007,0,0975399933
12,8092085,0,0976720528
13,0191969,0,0980059479
13,2291821,0,0981820273
13,4391696,0,1001381
13,6493049,0,0982878622
13,8591442,0,0975198566
14,0691317,0,0974926954
14,2891183,0,0978640542
14,489105,0,100980565
14,6991554,0,0994131778
14,9090792,0,0975151736
15,119065,0,0974837978
15,3290534,0,0974852027
15,5390408,0,0974795831
15,7490328,0,0975278176
15,9590149,0,0975236029
16,1690023,0,0975493592
16,3789899,0,0993616652
16,5889769,0,0997470729
16,799046,0,0976327159
17,0089515,0,0974800514
17,2189384,0,0974931637
17,4289251,0,0987510071
17,6389122,0,101047531
17,8489762,0,100190081
18,0588866,0,0978317418
18,2688735,0,0975320323
18,4788607,0,0974894173
18,7088463,0,097493632
18,8988772,0,0974861392
19,108822,0,0979928356
19,3188098,0,100115154
19,5287958,0,0984798636
19,7387832,0,0975666862
19,9488978,0,0975053394
20,1587577,0,0974749001
20,3687451,0,0977928732
20,578732,0,100689285
20,7887199,0,10224356
20,9988356,0,110698178
21,2086941,0,110006504
21,4192975,0,0993761824
21,6292838,0,0975413982
21,8392717,0,0975114272
22,0493287,0,0975634081
22,2592436,0,0976299062
22,4692322,0,0993227966
22,6792218,0,099758312
22,8892065,0,0975100223
23,1091939,0,0975006564
23,3091807,0,0975034662
23,5191693,0,0993967874
23,7291553,0,101895615
23,9391452,0,09814831
24,1491931,0,0975039345
24,3591201,0,0975048711
24,5691043,0,0974973783
24,7790917,0,0976074279
24,9890779,0,106437151
25,1991095,0,112949277
25,4090523,0,101097171
25,6190402,0,0984784587
25,8290263,0,0975591934
26,0390145,0,0974992515
26,2490623,0,097753068
26,4589895,0,100084714
26,6689752,0,100973072
26,8789623,0,0988329589
27,1089483,0,100535684
27,308937,0,352534723
27,5089243,0,831078097
27,7189104,0,452931323
27,9288984,0,276073206
28,1388854,0,258334617
28,3490564,0,232783444
28,5588611,0,254217826
28,768847,0,2404251
28,9788335,0,228500408
29,1888207,0,193260657
29,398878,0,135102493
29,6087949,0,108431156
29,8187821,0,102879037
30,0287694,0,102285706
30,2387572,0,102335346
30,4488247,0,102205159
30,6587304,0,102203754
30,8687178,0,102247306
31,0787064,0,10227915
31,288692,0,104982155
31,5086795,0,103170786
31,7186659,0,102207501
31,9186521,0,102228574
32,1286405,0,102485669
32,3386277,0,104902545
32,5486888,0,105944972
32,7586019,0,10374679
32,968589,0,10223513
33,1785762,0,10227915
33,3885634,0,10221312
33,5986149,0,102170974
33,8085377,0,102231384
34,0185254,0,102230447
34,2285119,0,102212652
34,4384993,0,103669989
34,6486332,0,104382736
34,8584738,0,10245242
35,0684605,0,102232789
35,2784484,0,102201413
35,488435,0,103230728
35,7084212,0,107521257
35,9184083,0,103112249
36,1283615,0,102343775
36,328383,0,102261823
36,5383498,0,102194857
36,7484385,0,10219673
36,9583447,0,102170974
37,1683322,0,102599465
37,3783181,0,10484354
37,5883061,0,103182962
37,7983406,0,102219208
38,0082803,0,102282896
38,2182682,0,102233725
38,4282555,0,102581669
38,6382424,0,105598901
38,8482901,0,104871637
39,058216,0,112671109
39,2682035,0,113642824
39,4781913,0,10291135
39,6881785,0,102222018
39,8982326,0,102204691
40,1180979,0,102225764
40,3381379,0,103663902
40,5381259,0,10437618
40,738114,0,10243041
40,9481418,0,102270721
41,1580904,0,10343912
41,3680756,0,106362224
41,5780602,0,105560501
41,7880489,0,10268329
41,9980791,0,102156925
42,2081828,0,103003604
42,4180116,0,119221167
42,627998,0,129449223
42,837984,0,10705858
43,0480953,0,102818627
43,2580523,0,105728619
43,4679457,0,103615199
43,6779334,0,102192515
43,8879208,0,102185491
44,0979814,0,102177998
44,3078926,0,10232317
44,5278822,0,105874728
44,7378689,0,103822186
44,9480235,0,102228574
45,1478409,0,102198603
45,3579182,0,102166291
45,567763,0,102151305
45,7778056,0,102176593
45,9877916,0,102164886
46,1978267,0,103642828
46,407766,0,104476864
46,6177585,0,102372341
46,8277404,0,102163949
47,0377274,0,102193452
47,2477639,0,102181276
47,4577029,0,103527159
47,6676882,0,10597307
47,8776757,0,102842042
48,0876632,0,102191579
48,2976966,0,102191579
48,5076372,0,102175188
48,7176244,0,102104476
48,9376111,0,102101197
49,1375985,0,102458039
49,3575853,0,104631401
49,5675732,0,103289265
49,7775595,0,102500186
49,9875467,0,10232317
50,197703,0,102324575
50,4075209,0,104485293
50,6175089,0,106096232
50,8274737,0,104048373
51,0374823,0,102204691
51,2475418,0,102130232
51,4574564,0,102137256
51,6674444,0,102182681
51,877431,0,102606489
52,087418,0,10316142
52,2975932,0,104328882
52,5073923,0,104691812
52,7173454,0,102443522
52,9273672,0,107191108
53,1573524,0,105036009
53,3573404,0,103489227
53,5673273,0,106083588
53,7772942,0,102901516
53,9873016,0,102176125
54,1973397,0,102162076
54,4072741,0,102121334
54,617263,0,102153647
54,8272499,0,102177998
55,037238,0,102167696
55,2472973,0,102519854
55,4572125,0,104628123
55,6671987,0,103287392
55,8771845,0,102176125
56,0871728,0,102256672
56,2972073,0,102387795
56,5071475,0,10458785
56,7171346,0,106573894
56,927122,0,104518074
57,1371088,0,102164886
57,3570452,0,103806732
57,5670824,0,130349288
57,7770361,0,105976348
57,9870571,0,102209374
58,1970857,0,103528564
58,4070308,0,105631214
58,6170178,0,104494191
58,8270051,0,102750724
59,0369922,0,102337687
59,2470576,0,103196074
59,457198,0,106093422
59,6669537,0,105229884
59,8769405,0,102668772
60,0869279,0,102150369
60,2969763,0,102182681
60,507028,0,102177998
60,7168894,0,102135383
60,9268765,0,102135383
61,1368639,0,104642172
61,3568503,0,103286923
61,5668379,0,102182681
61,7668251,0,102161608
61,9768125,0,102118524
62,1867987,0,102313804
62,3968616,0,105301065
62,6067737,0,104848691
62,8167613,0,102275404
63,026746,0,102208906
63,2367352,0,10211431
63,4468098,0,102073568
63,6567094,0,102122739
63,8666961,0,102141003
64,0766834,0,102247306
64,2866701,0,103607706
64,496775,0,104577547
64,7066451,0,102482859
64,9166315,0,102234662
65,1266194,0,102220145
65,3366069,0,138573036
65,5466712,0,465353814
65,7565805,0,163940168
65,966568,0,098181559
66,1765557,0,0968633054
66,3865421,0,0953366601
66,5966019,0,0947053969
66,8065165,0,0947138262
67,016504,0,0947765779
67,2264912,0,0955698715
67,4364802,0,0973695335
67,6465375,0,0960096016
67,8564535,0,0951343561
68,0664401,0,0949470377
68,2764296,0,0948252807
68,4863614,0,0968796958
68,6966823,0,0983993167
68,9063346,0,0965584446
69,1163215,0,0949774769
69,3263142,0,0948964617
69,5362984,0,0946356208
69,7464157,0,0946243817
69,9563252,0,0946609088
70,1763088,0,0960451921
70,3862989,0,0973999728
70,5862846,0,0949812233
70,796347,0,0946300012
71,0062592,0,0946417086
71,2162444,0,0946459233
71,4261879,0,0957014627
71,6362204,0,0985758643
71,8462696,0,0955647203
72,0561975,0,0946623136
72,266182,0,0946562258
72,4761688,0,0946665283
72,6861545,0,0946674649
72,8962167,0,0946735528
73,1061302,0,094653416
73,3161181,0,0948800713
73,5261049,0,0969049838
73,7360917,0,0958597468
73,9461644,0,0946267231
74,156143,0,0947255336
74,366054,0,0986690552
74,5860397,0,0968862519
74,7860282,0,0947255336
74,9961508,0,0946332793
75,2060018,0,094628128
75,4159888,0,0946449867
75,6259765,0,0946520111
75,8359633,0,0946684015
76,0459978,0,0958447613
76,2561158,0,0969925551
76,4659244,0,0949451645
76,6759117,0,0986470453
76,8858997,0,109482949
77,0959787,0,0983482724
77,3058736,0,0953689725
77,5158599,0,0978261222
77,7258482,0,0978893422
77,9358345,0,0953488358
78,1458974,0,0946318744
78,3558805,0,0946323427
78,5657961,0,0946566941
78,7958299,0,0946520111
78,9958405,0,0948725786
79,1958294,0,0970267407
79,4057446,0,0960288017
79,6157298,0,0947016505
79,8257188,0,0946623136
80,0357057,0,0946646551
80,2457636,0,10095434
80,4556807,0,130212077
80,6656673,0,123914431
80,8756526,0,0996927506
81,0856414,0,0947363044
81,2957002,0,0947199141
81,5060602,0,0947091433
81,7160467,0,094703992
81,9259929,0,0947133579
82,1360216,0,0946974359
82,3461129,0,0957567217
82,5559957,0,0971255512
82,7659836,0,0950383554
82,9759704,0,0946890065
83,2059201,0,0955071198
83,405944,0,0985014052
83,6059321,0,0981881151
83,8159193,0,0954083094
84,025907,0,0946819821
84,2358928,0,0946590356
84,4459575,0,0946684015
84,6558667,0,0946641868
84,8658549,0,0946857285
85,0758419,0,0948753884
85,2858287,0,0968876568
85,4959466,0,0959679232
85,7058027,0,0946861967
85,9157899,0,0946801089
86,1257778,0,0946440501
86,3357637,0,0947236604
86,5458799,0,0965059955
86,7557395,0,0982091884
86,9657251,0,0966797333
87,1757132,0,094767212
87,3856996,0,0946520111
87,605685,0,0949086374
87,8156742,0,103673268
88,0156624,0,106119178
88,2256488,0,09649101
88,4356365,0,0970763801
88,645696,0,0950336725
88,8556079,0,0948149782
89,06558,0,0950491262
89,2755845,0,0947147628
89,4855713,0,0954916661
89,6956413,0,0985964693
89,9055458,0,0946571624
90,1155313,0,0946557575
90,3255206,0,0946529477
90,5355074,0,0946431135
90,7354946,0,0946463916
90,9455224,0,0946403037
91,155469,0,094817788
91,3654562,0,0967766706
91,5654438,0,0961355732
91,7754313,0,0952823377
91,9854181,0,095089868
92,2053542,0,0964624439
92,4053921,0,0982283886
92,6253789,0,0967359289
92,8253675,0,0947597192
93,0353547,0,0946435818
93,2454129,0,094640772
93,4553288,0,0946552892
93,6653148,0,0946847919
93,8753029,0,0946815138
94,0852727,0,0957127018
94,2953623,0,0971719125
94,5052634,0,0950467848
94,7152515,0,094699309
94,9252379,0,0946552892
95,1352253,0,0946908797
95,3454194,0,102501591
95,5551991,0,118336087
95,7651866,0,113477515
95,9751743,0,0975011247
96,1851618,0,0946932212
96,3951984,0,094678704
96,6052583,0,0946758942
96,8151224,0,0946871333
97,0351093,0,0948608712
97,2451457,0,0969396377
97,4451747,0,0962367252
97,6550174,0,0947058652
97,8650583,0,0946768308
98,0750451,0,0947208507
98,2850332,0,096445117
98,4951078,0,0985257566
98,7050062,0,195801631
98,9149938,0,473844022
99,1249805,0,280434916
99,3349664,0,115992265
99,5450402,0,0952556448
99,7549423,0,094795778
99,9649296,0,0947714266
100,1749168,0,0947405191
100,3849036,0,095714575
100,5949638,0,0975151736
100,8048775,0,0954054996
101,0148651,0,0949695159
101,2348002,0,0958442931
101,4348398,0,098240096
101,6449186,0,0981450319
101,8548137,0,0956541648
102,0648008,0,095346026
102,2747879,0,0950528726
102,4847754,0,0950008917
102,6948239,0,0951001705
102,904749,0,0953633529
103,1147369,0,0953488358
103,3247239,0,0968988959
103,5347104,0,096612767
103,744682,0,0950800338
103,9546845,0,0950355457
104,1646726,0,0949868429
104,3746593,0,0952523668
104,5846464,0,097451017
104,7947071,0,0959623037
105,00462,0,0955581641
105,2146085,0,0957407996
105,4245947,0,0954996271
105,634586,0,0946744893
105,8645472,0,0946623136
106,0645553,0,0955253834
106,2645415,0,0971545856
106,4745304,0,0951385708
106,6845009,0,0948786665
106,8945869,0,0952228641
107,1044918,0,0959295229
107,314479,0,0981665735
107,5244661,0,0980911778
107,7344551,0,0960929583
107,9445587,0,0950463165
108,1544302,0,0946927529
108,3644147,0,0951395074
108,5744022,0,0957496972
108,7843887,0,0949840331
108,9944508,0,0948552516
109,2043637,0,0951999176
109,414351,0,0969611793
109,6243374,0,0965579763
109,8343253,0,105181649
110,0443978,0,109356978
110,2542987,0,0967481046
110,484285,0,0982213641
110,6742737,0,096897491
