Episode: 0; Score: -1.0; Action: [2. 1. 4. 4. 1.]
Episode: 1; Score: -1.0; Action: [1. 4. 3. 1. 4.]
Episode: 2; Score: -1.0; Action: [1. 1. 1. 2. 1.]
Episode: 3; Score: -1.0; Action: [3. 4. 0. 2. 0.]
Episode: 4; Score: -1.0; Action: [1. 0. 1. 3. 2.]
Episode: 5; Score: -1.0; Action: [2. 3. 1. 2. 3.]
Episode: 6; Score: -1.0; Action: [2. 3. 2. 1. 4.]
Episode: 7; Score: -1.0; Action: [4. 0. 0. 2. 1.]
Episode: 8; Score: -1.0; Action: [2. 4. 1. 4. 0.]
Episode: 9; Score: -1.0; Action: [3. 0. 3. 3. 3.]
Episode: 10; Score: -1.0; Action: [2. 0. 3. 2. 3.]
Episode: 11; Score: -1.0; Action: [1. 2. 3. 0. 0.]
Episode: 12; Score: -1.0; Action: [3. 1. 3. 4. 1.]
Episode: 13; Score: -1.0; Action: [0. 2. 2. 1. 0.]
Episode: 14; Score: 0.4755955759149242; Action: [4. 3. 4. 2. 4.]
Episode: 15; Score: -1.0; Action: [0. 3. 2. 0. 1.]
Episode: 16; Score: 0.40649347097104316; Action: [3. 4. 3. 3. 2.]
Episode: 17; Score: -1.0; Action: [3. 2. 1. 3. 3.]
Episode: 18; Score: -1.0; Action: [4. 0. 2. 2. 1.]
Episode: 19; Score: -1.0; Action: [0. 0. 1. 3. 4.]
Episode: 20; Score: 0.42728715746894586; Action: [3. 3. 3. 2. 2.]
Episode: 21; Score: -1.0; Action: [4. 3. 3. 1. 0.]
Episode: 22; Score: -1.0; Action: [0. 4. 1. 0. 3.]
Episode: 23; Score: -1.0; Action: [1. 4. 2. 0. 3.]
Episode: 24; Score: -1.0; Action: [4. 2. 4. 2. 1.]
Episode: 25; Score: -0.264614565786746; Action: [4. 3. 4. 4. 3.]
Episode: 26; Score: -1.0; Action: [4. 1. 0. 4. 1.]
Episode: 27; Score: -1.0; Action: [4. 3. 3. 1. 0.]
Episode: 28; Score: -1.0; Action: [4. 4. 0. 0. 1.]
Episode: 29; Score: -1.0; Action: [4. 0. 4. 1. 2.]
Episode: 30; Score: -1.0; Action: [3. 4. 0. 3. 0.]
Episode: 31; Score: -1.0; Action: [1. 2. 1. 1. 3.]
Episode: 32; Score: -1.0; Action: [0. 1. 1. 3. 3.]
Episode: 33; Score: -1.0; Action: [4. 2. 0. 0. 0.]
Episode: 34; Score: -1.0; Action: [3. 2. 1. 2. 2.]
Episode: 35; Score: -1.0; Action: [1. 2. 2. 4. 0.]
Episode: 36; Score: -0.3170041761513134; Action: [4. 4. 3. 4. 3.]
Episode: 37; Score: -1.0; Action: [2. 3. 4. 1. 4.]
Episode: 38; Score: -1.0; Action: [0. 2. 0. 1. 3.]
Episode: 39; Score: 2.75; Action: [2. 3. 2. 3. 2.]
Episode: 40; Score: -1.0; Action: [4. 1. 1. 4. 4.]
Episode: 41; Score: -1.0; Action: [4. 0. 2. 1. 0.]
Episode: 42; Score: -1.0; Action: [1. 0. 4. 4. 1.]
Episode: 43; Score: 0.4079695953753727; Action: [2. 3. 2. 4. 4.]
Episode: 44; Score: -1.0; Action: [4. 2. 1. 0. 2.]
Episode: 45; Score: -1.0; Action: [0. 0. 3. 1. 3.]
Episode: 46; Score: -1.0; Action: [4. 3. 0. 4. 2.]
Episode: 47; Score: -1.0; Action: [3. 0. 3. 0. 4.]
Episode: 48; Score: -1.0; Action: [1. 0. 2. 3. 0.]
Episode: 49; Score: -1.0; Action: [3. 0. 0. 1. 0.]
Episode: 50; Score: -1.0; Action: [1. 3. 0. 3. 0.]
Episode: 51; Score: 0.5298936290582736; Action: [2. 3. 2. 3. 2.]
Episode: 52; Score: -1.0; Action: [1. 2. 3. 2. 4.]
Episode: 53; Score: -1.0; Action: [2. 0. 0. 4. 2.]
Episode: 54; Score: -1.0; Action: [0. 0. 0. 2. 1.]
Episode: 55; Score: -1.0; Action: [0. 1. 2. 1. 0.]
Episode: 56; Score: -1.0; Action: [4. 2. 0. 2. 1.]
Episode: 57; Score: -1.0; Action: [2. 3. 1. 0. 4.]
Episode: 58; Score: -1.0; Action: [2. 0. 2. 2. 4.]
Episode: 59; Score: -1.0; Action: [4. 0. 0. 0. 2.]
Episode: 60; Score: -1.0; Action: [0. 2. 4. 3. 1.]
Episode: 61; Score: -1.0; Action: [4. 1. 1. 1. 4.]
Episode: 62; Score: -1.0; Action: [1. 0. 4. 0. 1.]
Episode: 63; Score: -1.0; Action: [4. 0. 1. 0. 2.]
Episode: 64; Score: -1.0; Action: [1. 0. 4. 1. 2.]
Episode: 65; Score: -1.0; Action: [2. 2. 1. 1. 0.]
Episode: 66; Score: 2.75; Action: [4. 2. 4. 4. 3.]
Episode: 67; Score: -1.0; Action: [2. 4. 2. 0. 3.]
Episode: 68; Score: -1.0; Action: [3. 0. 2. 2. 1.]
Episode: 69; Score: -1.0; Action: [0. 2. 4. 1. 0.]
Episode: 70; Score: -1.0; Action: [2. 2. 4. 1. 2.]
Episode: 71; Score: -1.0; Action: [4. 1. 3. 0. 1.]
Episode: 72; Score: -1.0; Action: [3. 4. 3. 1. 2.]
Episode: 73; Score: -1.0; Action: [2. 1. 3. 2. 4.]
Episode: 74; Score: -1.0; Action: [2. 1. 3. 2. 1.]
Episode: 75; Score: -1.0; Action: [0. 1. 3. 2. 2.]
Episode: 76; Score: -1.0; Action: [3. 2. 0. 3. 1.]
Episode: 77; Score: -1.0; Action: [0. 1. 1. 1. 0.]
Episode: 78; Score: -1.0; Action: [3. 2. 1. 4. 1.]
Episode: 79; Score: -1.0; Action: [2. 0. 4. 0. 3.]
Episode: 80; Score: -1.0; Action: [3. 1. 2. 1. 2.]
Episode: 81; Score: -1.0; Action: [4. 4. 3. 0. 3.]
Episode: 82; Score: -1.0; Action: [2. 4. 1. 0. 4.]
Episode: 83; Score: -1.0; Action: [1. 0. 0. 4. 3.]
Episode: 84; Score: -1.0; Action: [1. 4. 3. 2. 2.]
Episode: 85; Score: -1.0; Action: [3. 2. 1. 0. 2.]
Episode: 86; Score: -1.0; Action: [1. 3. 1. 4. 1.]
Episode: 87; Score: -1.0; Action: [1. 0. 1. 2. 0.]
Episode: 88; Score: -1.0; Action: [1. 1. 3. 1. 1.]
Episode: 89; Score: -1.0; Action: [3. 4. 2. 4. 0.]
Episode: 90; Score: -1.0; Action: [4. 1. 4. 4. 1.]
Episode: 91; Score: -1.0; Action: [3. 0. 3. 0. 0.]
Episode: 92; Score: -1.0; Action: [0. 2. 0. 1. 0.]
Episode: 93; Score: -1.0; Action: [1. 2. 4. 4. 0.]
Episode: 94; Score: -1.0; Action: [3. 0. 2. 3. 2.]
Episode: 95; Score: -1.0; Action: [1. 4. 2. 2. 0.]
Episode: 96; Score: -1.0; Action: [3. 4. 0. 0. 2.]
Episode: 97; Score: -1.0; Action: [0. 2. 2. 4. 4.]
Episode: 98; Score: -1.0; Action: [2. 1. 3. 2. 4.]
Episode: 99; Score: -1.0; Action: [3. 2. 3. 1. 2.]
Episode: 100; Score: -1.0; Action: [4. 0. 1. 3. 4.]
Episode: 101; Score: -1.0; Action: [0. 2. 0. 3. 3.]
Episode: 102; Score: -1.0; Action: [3. 0. 3. 4. 0.]
Episode: 103; Score: -1.0; Action: [1. 1. 1. 3. 4.]
Episode: 104; Score: 2.75; Action: [4. 2. 4. 2. 3.]
Episode: 105; Score: -1.0; Action: [0. 2. 3. 2. 2.]
Episode: 106; Score: -1.0; Action: [2. 3. 2. 1. 3.]
Episode: 107; Score: -1.0; Action: [3. 2. 0. 0. 1.]
Episode: 108; Score: -1.0; Action: [1. 4. 4. 0. 1.]
Episode: 109; Score: -1.0; Action: [0. 1. 3. 3. 2.]
Episode: 110; Score: -1.0; Action: [2. 1. 1. 0. 2.]
Episode: 111; Score: -1.0; Action: [1. 2. 4. 2. 3.]
Episode: 112; Score: -1.0; Action: [3. 2. 2. 1. 0.]
Episode: 113; Score: -1.0; Action: [2. 2. 3. 3. 1.]
Episode: 114; Score: -1.0; Action: [4. 4. 3. 4. 1.]
Episode: 115; Score: -1.0; Action: [2. 3. 1. 0. 4.]
Episode: 116; Score: -1.0; Action: [2. 0. 1. 2. 1.]
Episode: 117; Score: -1.0; Action: [4. 0. 1. 1. 2.]
Episode: 118; Score: -1.0; Action: [0. 1. 1. 0. 3.]
Episode: 119; Score: -1.0; Action: [2. 1. 2. 0. 4.]
Episode: 120; Score: -1.0; Action: [3. 0. 2. 0. 4.]
Episode: 121; Score: -1.0; Action: [0. 0. 0. 3. 2.]
Episode: 122; Score: -1.0; Action: [1. 3. 0. 2. 0.]
Episode: 123; Score: -1.0; Action: [1. 1. 1. 4. 0.]
Episode: 124; Score: -1.0; Action: [1. 4. 2. 0. 4.]
Episode: 125; Score: -1.0; Action: [2. 0. 2. 2. 3.]
Episode: 126; Score: -1.0; Action: [4. 2. 2. 3. 1.]
Episode: 127; Score: -1.0; Action: [4. 2. 4. 0. 4.]
Episode: 128; Score: -1.0; Action: [3. 0. 0. 0. 4.]
Episode: 129; Score: -1.0; Action: [4. 1. 3. 2. 3.]
Episode: 130; Score: 0.4425504507132506; Action: [2. 2. 4. 3. 4.]
Episode: 131; Score: -1.0; Action: [2. 1. 4. 2. 4.]
Episode: 132; Score: -0.28627368782852747; Action: [4. 3. 3. 3. 2.]
Episode: 133; Score: 0.44143039824924235; Action: [4. 4. 2. 3. 3.]
Episode: 134; Score: -1.0; Action: [3. 3. 1. 3. 4.]
Episode: 135; Score: -1.0; Action: [4. 1. 2. 3. 1.]
Episode: 136; Score: -1.0; Action: [4. 1. 1. 3. 2.]
Episode: 137; Score: -1.0; Action: [0. 1. 4. 0. 1.]
Episode: 138; Score: -1.0; Action: [4. 1. 4. 0. 4.]
Episode: 139; Score: -1.0; Action: [4. 0. 4. 4. 0.]
Episode: 140; Score: -1.0; Action: [4. 1. 1. 3. 1.]
Episode: 141; Score: -1.0; Action: [4. 1. 1. 4. 4.]
Episode: 142; Score: -1.0; Action: [4. 1. 4. 4. 2.]
Episode: 143; Score: -1.0; Action: [4. 1. 0. 2. 4.]
Episode: 144; Score: -1.0; Action: [1. 0. 0. 4. 1.]
Episode: 145; Score: -1.0; Action: [0. 3. 2. 0. 3.]
Episode: 146; Score: -1.0; Action: [3. 0. 4. 0. 1.]
Episode: 147; Score: -1.0; Action: [4. 2. 3. 0. 1.]
Episode: 148; Score: -1.0; Action: [1. 1. 1. 4. 0.]
Episode: 149; Score: -1.0; Action: [4. 2. 2. 4. 0.]
Episode: 150; Score: 2.75; Action: [3. 2. 4. 4. 3.]
Episode: 151; Score: -1.0; Action: [2. 2. 0. 3. 1.]
Episode: 152; Score: -1.0; Action: [2. 1. 2. 1. 3.]
Episode: 153; Score: -1.0; Action: [3. 1. 0. 3. 0.]
Episode: 154; Score: -1.0; Action: [1. 1. 2. 0. 1.]
Episode: 155; Score: -1.0; Action: [1. 1. 3. 1. 2.]
Episode: 156; Score: 0.4736921053223693; Action: [4. 2. 4. 2. 3.]
Episode: 157; Score: -1.0; Action: [2. 0. 2. 3. 3.]
Episode: 158; Score: -1.0; Action: [1. 2. 3. 0. 1.]
Episode: 159; Score: -1.0; Action: [1. 1. 2. 2. 4.]
Episode: 160; Score: -1.0; Action: [0. 0. 2. 1. 2.]
Episode: 161; Score: -1.0; Action: [2. 1. 3. 0. 4.]
Episode: 162; Score: -1.0; Action: [1. 0. 2. 2. 2.]
Episode: 163; Score: -1.0; Action: [4. 0. 3. 1. 3.]
Episode: 164; Score: -1.0; Action: [0. 3. 2. 0. 3.]
Episode: 165; Score: 0.5083192092424191; Action: [3. 4. 3. 4. 3.]
Episode: 166; Score: -1.0; Action: [3. 1. 3. 0. 1.]
Episode: 167; Score: -1.0; Action: [3. 4. 1. 0. 1.]
Episode: 168; Score: -1.0; Action: [1. 1. 2. 1. 4.]
Episode: 169; Score: -1.0; Action: [4. 3. 1. 0. 2.]
Episode: 170; Score: -1.0; Action: [4. 0. 4. 2. 0.]
Episode: 171; Score: -1.0; Action: [2. 3. 2. 0. 4.]
Episode: 172; Score: -1.0; Action: [3. 0. 4. 0. 2.]
Episode: 173; Score: -1.0; Action: [2. 1. 4. 4. 2.]
Episode: 174; Score: -1.0; Action: [3. 3. 3. 4. 0.]
Episode: 175; Score: -1.0; Action: [1. 3. 0. 2. 0.]
Episode: 176; Score: -1.0; Action: [2. 3. 4. 2. 1.]
Episode: 177; Score: -1.0; Action: [1. 1. 1. 1. 1.]
Episode: 178; Score: -1.0; Action: [2. 2. 0. 2. 1.]
Episode: 179; Score: -0.2573782247199925; Action: [3. 4. 2. 3. 4.]
Episode: 180; Score: -1.0; Action: [0. 4. 1. 3. 3.]
Episode: 181; Score: -1.0; Action: [2. 4. 0. 3. 2.]
Episode: 182; Score: -1.0; Action: [2. 2. 4. 1. 1.]
Episode: 183; Score: -1.0; Action: [1. 3. 4. 4. 3.]
Episode: 184; Score: -1.0; Action: [2. 0. 1. 2. 1.]
Episode: 185; Score: -1.0; Action: [0. 1. 2. 2. 0.]
Episode: 186; Score: -1.0; Action: [0. 2. 0. 4. 2.]
Episode: 187; Score: -1.0; Action: [1. 2. 3. 2. 4.]
Episode: 188; Score: 2.75; Action: [3. 4. 3. 3. 4.]
Episode: 189; Score: -1.0; Action: [4. 1. 3. 3. 1.]
Episode: 190; Score: -0.2151131634543344; Action: [4. 2. 3. 3. 4.]
Episode: 191; Score: -1.0; Action: [0. 1. 2. 2. 0.]
Episode: 192; Score: -1.0; Action: [4. 1. 0. 2. 4.]
Episode: 193; Score: -1.0; Action: [2. 2. 3. 0. 1.]
Episode: 194; Score: -1.0; Action: [3. 3. 2. 0. 0.]
Episode: 195; Score: -1.0; Action: [3. 2. 1. 0. 3.]
Episode: 196; Score: -1.0; Action: [0. 3. 2. 3. 4.]
Episode: 197; Score: -1.0; Action: [2. 1. 1. 3. 4.]
Episode: 198; Score: -1.0; Action: [4. 1. 0. 1. 4.]
Episode: 199; Score: -1.0; Action: [2. 3. 0. 3. 2.]
Episode: 200; Score: -1.0; Action: [2. 1. 2. 2. 0.]
Episode: 201; Score: 2.75; Action: [3. 2. 4. 2. 3.]
Episode: 202; Score: -1.0; Action: [3. 4. 3. 4. 0.]
Episode: 203; Score: 0.42315513350641665; Action: [2. 2. 3. 2. 2.]
Episode: 204; Score: -1.0; Action: [0. 4. 1. 2. 3.]
Episode: 205; Score: -1.0; Action: [0. 3. 4. 3. 0.]
Episode: 206; Score: -1.0; Action: [1. 2. 1. 0. 2.]
Episode: 207; Score: -1.0; Action: [1. 0. 2. 2. 3.]
Episode: 208; Score: -1.0; Action: [0. 3. 0. 1. 4.]
Episode: 209; Score: -1.0; Action: [0. 2. 2. 1. 4.]
Episode: 210; Score: -1.0; Action: [4. 0. 1. 3. 2.]
Episode: 211; Score: -1.0; Action: [2. 4. 1. 4. 0.]
Episode: 212; Score: -1.0; Action: [0. 1. 1. 3. 2.]
Episode: 213; Score: -1.0; Action: [3. 1. 4. 0. 3.]
Episode: 214; Score: -1.0; Action: [4. 0. 4. 2. 1.]
Episode: 215; Score: -1.0; Action: [0. 2. 1. 2. 3.]
Episode: 216; Score: -1.0; Action: [2. 3. 3. 2. 1.]
Episode: 217; Score: -1.0; Action: [1. 4. 3. 1. 2.]
Episode: 218; Score: -1.0; Action: [2. 2. 1. 0. 2.]
Episode: 219; Score: -1.0; Action: [4. 1. 2. 2. 3.]
Episode: 220; Score: -1.0; Action: [2. 2. 2. 1. 3.]
Episode: 221; Score: -1.0; Action: [4. 1. 0. 1. 3.]
Episode: 222; Score: -1.0; Action: [3. 1. 4. 4. 4.]
Episode: 223; Score: -1.0; Action: [1. 3. 0. 1. 4.]
Episode: 224; Score: -1.0; Action: [4. 2. 4. 1. 2.]
Episode: 225; Score: -1.0; Action: [3. 1. 2. 0. 3.]
Episode: 226; Score: -1.0; Action: [2. 0. 0. 4. 0.]
Episode: 227; Score: -1.0; Action: [3. 0. 3. 3. 4.]
Episode: 228; Score: -1.0; Action: [2. 4. 0. 0. 3.]
Episode: 229; Score: -1.0; Action: [1. 2. 3. 0. 0.]
Episode: 230; Score: -1.0; Action: [3. 2. 2. 1. 4.]
Episode: 231; Score: -1.0; Action: [4. 1. 1. 0. 4.]
Episode: 232; Score: -1.0; Action: [4. 3. 1. 3. 3.]
Episode: 233; Score: -1.0; Action: [4. 4. 3. 0. 4.]
Episode: 234; Score: -1.0; Action: [4. 4. 0. 4. 0.]
Episode: 235; Score: -1.0; Action: [1. 2. 4. 1. 3.]
Episode: 236; Score: -1.0; Action: [4. 1. 1. 0. 1.]
Episode: 237; Score: -1.0; Action: [3. 1. 4. 1. 0.]
Episode: 238; Score: -1.0; Action: [3. 1. 3. 1. 0.]
Episode: 239; Score: -1.0; Action: [3. 1. 2. 1. 1.]
Episode: 240; Score: -1.0; Action: [1. 2. 4. 4. 4.]
Episode: 241; Score: -1.0; Action: [0. 2. 2. 1. 0.]
Episode: 242; Score: -1.0; Action: [3. 0. 3. 2. 4.]
Episode: 243; Score: -1.0; Action: [1. 3. 4. 0. 1.]
Episode: 244; Score: -1.0; Action: [3. 4. 0. 0. 2.]
Episode: 245; Score: -1.0; Action: [4. 1. 2. 0. 0.]
Episode: 246; Score: -1.0; Action: [0. 1. 0. 4. 3.]
Episode: 247; Score: -1.0; Action: [0. 0. 2. 2. 2.]
Episode: 248; Score: -1.0; Action: [4. 1. 3. 1. 3.]
Episode: 249; Score: -0.06864400059140374; Action: [2. 3. 3. 3. 2.]
Episode: 250; Score: -1.0; Action: [2. 3. 2. 0. 2.]
Episode: 251; Score: -1.0; Action: [4. 1. 2. 2. 2.]
Episode: 252; Score: 2.75; Action: [2. 2. 4. 4. 3.]
Episode: 253; Score: -1.0; Action: [1. 0. 1. 3. 1.]
Episode: 254; Score: -1.0; Action: [4. 0. 4. 2. 2.]
Episode: 255; Score: -1.0; Action: [4. 3. 1. 3. 2.]
Episode: 256; Score: -1.0; Action: [3. 4. 3. 3. 1.]
Episode: 257; Score: -1.0; Action: [3. 1. 2. 3. 3.]
Episode: 258; Score: -1.0; Action: [2. 2. 3. 3. 0.]
Episode: 259; Score: -1.0; Action: [3. 2. 3. 2. 0.]
Episode: 260; Score: -1.0; Action: [0. 2. 4. 2. 4.]
Episode: 261; Score: -1.0; Action: [2. 0. 1. 3. 1.]
Episode: 262; Score: -1.0; Action: [0. 0. 1. 3. 2.]
Episode: 263; Score: 2.75; Action: [3. 3. 2. 4. 2.]
Episode: 264; Score: -1.0; Action: [0. 3. 2. 0. 1.]
Episode: 265; Score: -1.0; Action: [1. 0. 3. 0. 4.]
Episode: 266; Score: 2.75; Action: [2. 4. 2. 4. 3.]
Episode: 267; Score: 2.75; Action: [4. 2. 2. 3. 4.]
Episode: 268; Score: -1.0; Action: [2. 4. 0. 2. 2.]
Episode: 269; Score: -1.0; Action: [4. 3. 1. 3. 2.]
Episode: 270; Score: -1.0; Action: [0. 3. 4. 0. 1.]
Episode: 271; Score: 0.5108681159441761; Action: [2. 4. 4. 2. 3.]
Episode: 272; Score: -1.0; Action: [2. 0. 0. 4. 0.]
Episode: 273; Score: -1.0; Action: [2. 2. 3. 2. 0.]
Episode: 274; Score: -1.0; Action: [1. 0. 4. 2. 3.]
Episode: 275; Score: -1.0; Action: [4. 1. 3. 2. 4.]
Episode: 276; Score: -1.0; Action: [2. 1. 0. 4. 0.]
Episode: 277; Score: -1.0; Action: [1. 0. 0. 3. 0.]
Episode: 278; Score: 0.5775073965144478; Action: [3. 3. 2. 4. 2.]
Episode: 279; Score: -1.0; Action: [3. 1. 4. 4. 2.]
Episode: 280; Score: -1.0; Action: [1. 0. 2. 3. 1.]
Episode: 281; Score: -1.0; Action: [4. 3. 3. 1. 2.]
Episode: 282; Score: -1.0; Action: [4. 4. 0. 2. 1.]
Episode: 283; Score: -1.0; Action: [0. 2. 0. 3. 0.]
Episode: 284; Score: -1.0; Action: [3. 3. 1. 2. 3.]
Episode: 285; Score: -1.0; Action: [1. 0. 2. 2. 2.]
Episode: 286; Score: -1.0; Action: [1. 4. 2. 1. 1.]
Episode: 287; Score: -1.0; Action: [0. 1. 1. 2. 4.]
Episode: 288; Score: -1.0; Action: [2. 3. 1. 0. 4.]
Episode: 289; Score: -1.0; Action: [2. 1. 3. 3. 0.]
Episode: 290; Score: -1.0; Action: [3. 4. 1. 4. 2.]
Episode: 291; Score: -1.0; Action: [3. 1. 1. 1. 4.]
Episode: 292; Score: -1.0; Action: [2. 1. 0. 1. 0.]
Episode: 293; Score: -1.0; Action: [2. 2. 4. 0. 1.]
Episode: 294; Score: -1.0; Action: [3. 3. 4. 0. 3.]
Episode: 295; Score: -1.0; Action: [3. 4. 2. 1. 2.]
Episode: 296; Score: -1.0; Action: [1. 1. 2. 2. 0.]
Episode: 297; Score: -1.0; Action: [1. 4. 1. 0. 3.]
Episode: 298; Score: -1.0; Action: [4. 0. 2. 0. 1.]
Episode: 299; Score: -1.0; Action: [0. 3. 2. 0. 0.]
Episode: 300; Score: 2.75; Action: [3. 4. 3. 2. 3.]
Episode: 301; Score: -1.0; Action: [3. 1. 2. 0. 0.]
Episode: 302; Score: -1.0; Action: [4. 4. 2. 0. 1.]
Episode: 303; Score: -0.2700393694685217; Action: [4. 2. 3. 4. 3.]
Episode: 304; Score: -1.0; Action: [4. 2. 0. 4. 4.]
Episode: 305; Score: -1.0; Action: [4. 2. 0. 2. 1.]
Episode: 306; Score: -0.20820114219446095; Action: [3. 3. 3. 2. 3.]
Episode: 307; Score: -1.0; Action: [3. 1. 1. 1. 3.]
Episode: 308; Score: -1.0; Action: [4. 1. 1. 0. 4.]
Episode: 309; Score: -1.0; Action: [0. 0. 1. 3. 1.]
Episode: 310; Score: -1.0; Action: [0. 3. 3. 0. 0.]
Episode: 311; Score: 2.75; Action: [3. 4. 2. 3. 3.]
Episode: 312; Score: -1.0; Action: [3. 1. 0. 0. 0.]
Episode: 313; Score: -1.0; Action: [0. 0. 4. 0. 0.]
Episode: 314; Score: -1.0; Action: [2. 1. 2. 0. 2.]
Episode: 315; Score: 0.5987519470452224; Action: [4. 4. 2. 3. 3.]
Episode: 316; Score: -1.0; Action: [2. 1. 2. 1. 3.]
Episode: 317; Score: 0.3987512993777035; Action: [4. 2. 2. 3. 2.]
Episode: 318; Score: -1.0; Action: [4. 0. 4. 0. 3.]
Episode: 319; Score: -1.0; Action: [1. 3. 4. 1. 0.]
Episode: 320; Score: -1.0; Action: [3. 0. 0. 4. 4.]
Episode: 321; Score: -1.0; Action: [2. 4. 1. 3. 0.]
Episode: 322; Score: -1.0; Action: [2. 3. 4. 3. 0.]
Episode: 323; Score: -0.19958326097024215; Action: [3. 2. 4. 4. 4.]
Episode: 324; Score: -1.0; Action: [2. 3. 3. 1. 0.]
Episode: 325; Score: -1.0; Action: [4. 1. 1. 0. 4.]
Episode: 326; Score: -1.0; Action: [2. 3. 4. 0. 4.]
Episode: 327; Score: -1.0; Action: [1. 1. 4. 4. 1.]
Episode: 328; Score: -1.0; Action: [2. 4. 1. 4. 1.]
Episode: 329; Score: -1.0; Action: [3. 2. 1. 1. 1.]
Episode: 330; Score: -1.0; Action: [4. 2. 1. 2. 1.]
Episode: 331; Score: 2.75; Action: [4. 3. 2. 4. 2.]
Episode: 332; Score: -1.0; Action: [0. 4. 3. 0. 0.]
Episode: 333; Score: -1.0; Action: [1. 1. 4. 1. 3.]
Episode: 334; Score: -1.0; Action: [2. 2. 0. 0. 2.]
Episode: 335; Score: -1.0; Action: [1. 0. 2. 2. 2.]
Episode: 336; Score: -1.0; Action: [2. 1. 1. 3. 1.]
Episode: 337; Score: -1.0; Action: [1. 1. 1. 1. 0.]
Episode: 338; Score: -1.0; Action: [4. 4. 0. 4. 1.]
Episode: 339; Score: -1.0; Action: [4. 1. 1. 4. 2.]
Episode: 340; Score: -1.0; Action: [1. 3. 2. 1. 2.]
Episode: 341; Score: -1.0; Action: [1. 2. 4. 3. 4.]
Episode: 342; Score: -1.0; Action: [4. 0. 3. 3. 2.]
Episode: 343; Score: -1.0; Action: [1. 3. 3. 3. 3.]
Episode: 344; Score: -1.0; Action: [2. 1. 2. 4. 2.]
Episode: 345; Score: -1.0; Action: [3. 0. 3. 2. 4.]
Episode: 346; Score: -1.0; Action: [0. 4. 3. 0. 3.]
Episode: 347; Score: -1.0; Action: [0. 4. 0. 1. 2.]
