Episode: 0; Score: -1.0999999999999999; Action: [2 1 0 2 0]
Episode: 1; Score: -1.4; Action: [2 2 0 1 2]
Episode: 2; Score: -1.7; Action: [0 2 1 0 1]
Episode: 3; Score: -1.7; Action: [0 2 1 0 1]
Episode: 4; Score: -1.7; Action: [0 2 1 0 1]
Episode: 5; Score: -1.0999999999999999; Action: [2 2 1 0 2]
Episode: 6; Score: -1.4; Action: [0 1 0 2 0]
Episode: 7; Score: -1.0999999999999999; Action: [2 1 1 0 0]
Episode: 8; Score: -1.0999999999999999; Action: [2 1 0 2 0]
Episode: 9; Score: -1.7; Action: [0 2 1 0 1]
Episode: 10; Score: -1.4; Action: [2 1 0 0 0]
Episode: 11; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 12; Score: -1.4; Action: [2 0 0 2 0]
Episode: 13; Score: -1.7; Action: [2 0 0 0 0]
Episode: 14; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 15; Score: -0.7999999999999998; Action: [2 0 1 2 2]
Episode: 16; Score: -1.7; Action: [0 2 1 0 1]
Episode: 17; Score: -1.4; Action: [2 1 0 0 1]
Episode: 18; Score: -1.4; Action: [2 0 0 1 2]
Episode: 19; Score: -1.0999999999999999; Action: [2 2 1 2 0]
Episode: 20; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 21; Score: -1.7; Action: [0 2 1 0 1]
Episode: 22; Score: -1.7; Action: [0 2 1 0 1]
Episode: 23; Score: -1.7; Action: [1 2 0 2 0]
Episode: 24; Score: -1.0999999999999999; Action: [2 2 1 0 2]
Episode: 25; Score: -1.0999999999999999; Action: [2 1 0 2 0]
Episode: 26; Score: -1.4; Action: [2 2 2 2 0]
Episode: 27; Score: -1.0999999999999999; Action: [2 2 1 2 0]
Episode: 28; Score: -1.4; Action: [2 2 1 1 0]
Episode: 29; Score: -1.4; Action: [2 1 0 0 1]
Episode: 30; Score: -2.0; Action: [1 0 0 1 0]
Episode: 31; Score: -1.7; Action: [0 2 1 0 1]
Episode: 32; Score: -1.7; Action: [0 2 1 0 1]
Episode: 33; Score: -1.7; Action: [2 2 0 0 0]
Episode: 34; Score: -1.7; Action: [0 2 1 0 1]
Episode: 35; Score: -1.7; Action: [0 2 1 0 1]
Episode: 36; Score: -1.0999999999999999; Action: [2 1 0 2 0]
Episode: 37; Score: -1.7; Action: [0 2 1 0 1]
Episode: 38; Score: -1.4; Action: [2 1 0 0 0]
Episode: 39; Score: -1.4; Action: [2 0 0 0 2]
Episode: 40; Score: -1.7; Action: [1 1 0 0 0]
Episode: 41; Score: -1.4; Action: [2 2 0 0 2]
Episode: 42; Score: -1.7; Action: [0 2 1 0 1]
Episode: 43; Score: -1.4; Action: [2 2 1 0 1]
Episode: 44; Score: -1.7; Action: [0 2 1 0 1]
Episode: 45; Score: -1.7; Action: [0 2 1 0 1]
Episode: 46; Score: -1.0999999999999999; Action: [2 0 1 1 2]
Episode: 47; Score: -1.4; Action: [2 2 2 2 0]
Episode: 48; Score: -1.4; Action: [2 0 0 2 0]
Episode: 49; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 50; Score: -1.7; Action: [0 2 1 0 1]
Episode: 51; Score: -1.7; Action: [1 2 0 2 0]
Episode: 52; Score: -0.7999999999999998; Action: [2 1 0 2 2]
Episode: 53; Score: -1.0999999999999999; Action: [0 1 0 2 2]
Episode: 54; Score: -1.7; Action: [0 2 1 0 1]
Episode: 55; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 56; Score: -1.7; Action: [1 0 0 2 0]
Episode: 57; Score: -1.0999999999999999; Action: [2 2 1 2 0]
Episode: 58; Score: -1.7; Action: [0 2 1 0 1]
Episode: 59; Score: -1.7; Action: [0 2 1 0 1]
Episode: 60; Score: -1.7; Action: [0 2 1 0 1]
Episode: 61; Score: -1.7; Action: [0 2 1 0 1]
Episode: 62; Score: -1.0999999999999999; Action: [2 2 2 2 2]
Episode: 63; Score: -1.7; Action: [0 2 1 0 1]
Episode: 64; Score: -1.7; Action: [0 2 1 0 1]
Episode: 65; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 66; Score: -1.0999999999999999; Action: [2 1 0 0 2]
Episode: 67; Score: -1.4; Action: [2 2 0 2 0]
Episode: 68; Score: -1.4; Action: [2 2 0 1 2]
Episode: 69; Score: -1.4; Action: [2 0 0 2 0]
Episode: 70; Score: -1.7; Action: [0 2 1 0 1]
Episode: 71; Score: -1.0999999999999999; Action: [2 2 1 2 0]
Episode: 72; Score: -1.7; Action: [2 0 0 0 0]
Episode: 73; Score: -1.0999999999999999; Action: [2 2 1 2 0]
Episode: 74; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 75; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 76; Score: -1.4; Action: [2 0 1 1 0]
Episode: 77; Score: -1.7; Action: [0 2 1 0 1]
Episode: 78; Score: -1.7; Action: [0 2 1 0 1]
Episode: 79; Score: -1.7; Action: [0 2 1 0 1]
Episode: 80; Score: -0.7999999999999998; Action: [2 1 0 2 2]
Episode: 81; Score: -1.7; Action: [0 2 1 0 1]
Episode: 82; Score: -1.7; Action: [0 2 1 0 1]
Episode: 83; Score: -1.0999999999999999; Action: [2 2 1 2 1]
Episode: 84; Score: -1.7; Action: [0 2 1 0 1]
Episode: 85; Score: -1.7; Action: [0 2 1 0 1]
Episode: 86; Score: -1.7; Action: [0 2 1 0 1]
Episode: 87; Score: -1.4; Action: [2 2 0 0 2]
Episode: 88; Score: -1.7; Action: [0 2 1 0 1]
Episode: 89; Score: -1.4; Action: [2 1 2 0 1]
Episode: 90; Score: -1.7; Action: [0 0 0 0 2]
Episode: 91; Score: -1.7; Action: [0 2 1 0 1]
Episode: 92; Score: -1.0999999999999999; Action: [2 1 0 2 0]
Episode: 93; Score: -1.7; Action: [0 2 1 0 1]
Episode: 94; Score: -1.7; Action: [2 0 0 1 0]
Episode: 95; Score: -1.7; Action: [2 0 0 1 0]
Episode: 96; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 97; Score: -1.7; Action: [0 2 1 0 1]
Episode: 98; Score: -1.7; Action: [0 2 1 0 1]
Episode: 99; Score: -1.4; Action: [2 2 0 0 2]
Episode: 100; Score: -1.7; Action: [0 2 1 0 1]
Episode: 101; Score: -1.0999999999999999; Action: [2 1 0 0 2]
Episode: 102; Score: -1.0999999999999999; Action: [2 0 0 2 2]
Episode: 103; Score: -1.4; Action: [2 2 1 0 0]
Episode: 104; Score: 3.405231137331483; Action: [2 1 1 2 2]
Episode: 105; Score: -1.7; Action: [0 2 1 0 1]
Episode: 106; Score: -1.7; Action: [0 2 1 0 1]
Episode: 107; Score: -1.4; Action: [2 2 2 1 2]
Episode: 108; Score: -1.4; Action: [2 2 0 2 0]
