Episode: 0; Score: 3.2886784954739876; Action: [2 1 2 2 2]
Episode: 1; Score: 0.04999999999999999; Action: [1 1 2 0 0]
Episode: 2; Score: -0.15000000000000002; Action: [1 0 1 0 0]
Episode: 3; Score: -0.3500000000000001; Action: [0 2 2 2 0]
Episode: 4; Score: -0.050000000000000044; Action: [2 2 2 2 2]
Episode: 5; Score: -0.5; Action: [0 1 0 1 2]
Episode: 6; Score: 3.220163467961965; Action: [2 1 1 2 2]
Episode: 7; Score: 0.3; Action: [0 1 2 2 1]
Episode: 8; Score: -0.4; Action: [1 2 2 0 0]
Episode: 9; Score: -0.10000000000000009; Action: [0 0 1 2 0]
Episode: 10; Score: -0.5; Action: [0 0 1 2 0]
Episode: 11; Score: -0.75; Action: [0 0 0 1 2]
Episode: 12; Score: 3.189464997458989; Action: [2 1 2 2 2]
Episode: 13; Score: 0.55; Action: [1 0 1 2 2]
Episode: 14; Score: -0.4; Action: [1 0 0 1 1]
Episode: 15; Score: 0.1499999999999999; Action: [2 0 1 2 1]
Episode: 16; Score: -0.30000000000000004; Action: [0 1 0 2 1]
Episode: 17; Score: -0.5; Action: [1 0 1 1 2]
Episode: 18; Score: 1.2808141461726716; Action: [0 0 0 0 0]
Episode: 19; Score: 0.04999999999999999; Action: [0 2 1 0 0]
Episode: 20; Score: 0.09999999999999998; Action: [0 0 1 1 2]
Episode: 21; Score: -0.3500000000000001; Action: [1 2 0 2 1]
Episode: 22; Score: -0.55; Action: [1 2 2 1 2]
Episode: 23; Score: -0.75; Action: [1 2 1 0 0]
Episode: 24; Score: 3.354679974914153; Action: [2 1 1 2 2]
Episode: 25; Score: 0.04999999999999999; Action: [2 2 2 0 0]
Episode: 26; Score: 0.09999999999999998; Action: [2 2 2 2 0]
Episode: 27; Score: 0.1499999999999999; Action: [2 1 1 0 0]
Episode: 28; Score: 1.0; Action: [0 1 1 2 2]
Episode: 29; Score: 0.04999999999999999; Action: [1 2 1 1 1]
Episode: 30; Score: 5.307301014422485; Action: [1 1 1 1 1]
Episode: 31; Score: 0.55; Action: [0 1 1 2 1]
Episode: 32; Score: -0.4; Action: [0 2 0 0 0]
Episode: 33; Score: -0.10000000000000009; Action: [0 2 1 2 0]
Episode: 34; Score: -0.55; Action: [1 1 2 0 1]
Episode: 35; Score: -0.75; Action: [0 2 2 0 2]
Episode: 36; Score: 1.4590392607207672; Action: [0 0 0 0 0]
Episode: 37; Score: -0.2; Action: [1 2 0 0 0]
Episode: 38; Score: -0.15000000000000002; Action: [2 2 2 0 0]
Episode: 39; Score: -0.3500000000000001; Action: [1 0 1 1 1]
Episode: 40; Score: -0.55; Action: [2 0 2 1 0]
Episode: 41; Score: -0.5; Action: [0 1 1 1 0]
Episode: 42; Score: 3.44585868931195; Action: [2 1 1 2 2]
Episode: 43; Score: 0.55; Action: [2 0 1 2 1]
Episode: 44; Score: 0.09999999999999998; Action: [1 1 1 0 0]
Episode: 45; Score: -0.10000000000000009; Action: [0 2 1 2 0]
Episode: 46; Score: -0.30000000000000004; Action: [2 1 2 1 1]
Episode: 47; Score: -0.75; Action: [1 2 0 1 2]
Episode: 48; Score: 5.037446295821541; Action: [1 1 1 1 1]
Episode: 49; Score: 0.04999999999999999; Action: [2 0 0 1 1]
Episode: 50; Score: 0.35; Action: [1 1 1 2 1]
Episode: 51; Score: -0.10000000000000009; Action: [0 1 2 1 2]
Episode: 52; Score: -0.050000000000000044; Action: [2 0 1 1 2]
Episode: 53; Score: -0.5; Action: [2 2 2 1 2]
Episode: 54; Score: 3.455005112479783; Action: [2 1 2 2 2]
Episode: 55; Score: 0.55; Action: [1 1 1 2 1]
Episode: 56; Score: 0.09999999999999998; Action: [1 1 0 2 1]
Episode: 57; Score: -0.3500000000000001; Action: [1 0 1 1 1]
Episode: 58; Score: -0.30000000000000004; Action: [2 2 2 1 2]
Episode: 59; Score: -0.5; Action: [0 1 1 1 1]
Episode: 60; Score: 1.3973147532968304; Action: [0 0 0 0 0]
Episode: 61; Score: 3.269879313932297; Action: [2 1 1 2 2]
Episode: 62; Score: 0.04999999999999999; Action: [0 1 2 0 1]
Episode: 63; Score: -0.15000000000000002; Action: [0 0 2 2 1]
Episode: 64; Score: -0.10000000000000009; Action: [0 1 0 2 1]
Episode: 65; Score: -0.30000000000000004; Action: [1 0 1 2 1]
Episode: 66; Score: 2.9257774124991927; Action: [2 1 2 2 2]
Episode: 67; Score: 0.04999999999999999; Action: [0 2 0 2 0]
Episode: 68; Score: 0.09999999999999998; Action: [2 1 0 0 0]
Episode: 69; Score: -0.10000000000000009; Action: [1 2 2 2 2]
Episode: 70; Score: -0.55; Action: [0 1 2 1 0]
Episode: 71; Score: -0.5; Action: [0 2 1 2 1]
Episode: 72; Score: 3.0832643006487106; Action: [2 1 2 2 2]
Episode: 73; Score: 0.04999999999999999; Action: [1 1 0 0 0]
Episode: 74; Score: 0.35; Action: [1 2 1 2 2]
Episode: 75; Score: -0.10000000000000009; Action: [2 0 1 1 1]
Episode: 76; Score: -0.8; Action: [1 0 0 1 0]
Episode: 77; Score: -1.0; Action: [1 0 2 1 1]
Episode: 78; Score: 3.48809492522373; Action: [2 1 1 2 2]
Episode: 79; Score: -0.2; Action: [1 0 0 0 1]
Episode: 80; Score: 1.0; Action: [2 1 1 2 1]
Episode: 81; Score: 0.3; Action: [1 2 1 2 0]
Episode: 82; Score: -0.4; Action: [1 0 2 0 1]
Episode: 83; Score: -0.6000000000000001; Action: [1 0 2 1 0]
Episode: 84; Score: 5.333754640041765; Action: [1 1 1 1 1]
Episode: 85; Score: 0.04999999999999999; Action: [1 0 0 2 1]
Episode: 86; Score: -0.15000000000000002; Action: [2 2 0 1 0]
Episode: 87; Score: 1.0; Action: [2 1 0 2 2]
Episode: 88; Score: 0.04999999999999999; Action: [0 2 2 1 2]
Episode: 89; Score: 0.35; Action: [2 1 1 0 1]
Episode: 90; Score: 3.4720378915642036; Action: [2 1 2 2 2]
Episode: 91; Score: 0.04999999999999999; Action: [0 0 1 0 0]
Episode: 92; Score: 0.09999999999999998; Action: [0 2 0 2 2]
Episode: 93; Score: -0.3500000000000001; Action: [1 2 0 2 1]
Episode: 94; Score: -0.050000000000000044; Action: [1 1 1 2 1]
Episode: 95; Score: -1.0; Action: [1 0 2 0 0]
Episode: 96; Score: 5.3819994086338925; Action: [1 1 1 1 1]
Episode: 97; Score: 0.04999999999999999; Action: [0 1 0 0 0]
Episode: 98; Score: 0.09999999999999998; Action: [0 2 1 0 2]
Episode: 99; Score: -0.10000000000000009; Action: [1 2 1 1 2]
Episode: 100; Score: -0.30000000000000004; Action: [2 1 0 0 1]
Episode: 101; Score: -0.25; Action: [2 1 2 0 2]
Episode: 102; Score: 3.3701062205395864; Action: [2 1 1 2 2]
Episode: 103; Score: 0.04999999999999999; Action: [1 0 1 0 0]
Episode: 104; Score: -0.4; Action: [0 2 2 0 0]
Episode: 105; Score: -0.10000000000000009; Action: [1 1 0 0 2]
Episode: 106; Score: -0.30000000000000004; Action: [0 0 1 2 1]
Episode: 107; Score: -0.75; Action: [0 2 0 2 1]
Episode: 108; Score: 1.3127300156762107; Action: [0 0 0 0 0]
Episode: 109; Score: 0.55; Action: [2 1 0 2 0]
Episode: 110; Score: -0.15000000000000002; Action: [2 2 0 0 1]
Episode: 111; Score: -0.3500000000000001; Action: [1 1 2 0 1]
Episode: 112; Score: -0.55; Action: [0 0 2 2 1]
Episode: 113; Score: -0.75; Action: [1 1 0 0 0]
Episode: 114; Score: 2.9981040680272497; Action: [2 1 2 2 2]
Episode: 115; Score: 0.04999999999999999; Action: [2 0 2 0 0]
Episode: 116; Score: 0.35; Action: [2 1 2 0 2]
Episode: 117; Score: -0.3500000000000001; Action: [1 1 2 1 1]
Episode: 118; Score: -0.30000000000000004; Action: [2 2 0 2 1]
Episode: 119; Score: -0.5; Action: [0 2 1 1 2]
Episode: 120; Score: 3.45275665288472; Action: [2 1 2 2 2]
Episode: 121; Score: 0.04999999999999999; Action: [0 1 2 1 1]
Episode: 122; Score: -0.15000000000000002; Action: [0 0 1 1 0]
Episode: 123; Score: -0.3500000000000001; Action: [1 1 0 0 0]
Episode: 124; Score: -0.30000000000000004; Action: [0 1 1 0 0]
Episode: 125; Score: -0.75; Action: [1 0 0 0 2]
Episode: 126; Score: 3.4485033081314995; Action: [2 1 1 2 2]
Episode: 127; Score: 0.04999999999999999; Action: [1 0 2 2 1]
Episode: 128; Score: -0.15000000000000002; Action: [2 0 2 0 0]
Episode: 129; Score: -0.3500000000000001; Action: [0 2 1 0 0]
Episode: 130; Score: -0.55; Action: [0 1 0 1 0]
Episode: 131; Score: -0.5; Action: [0 0 1 2 1]
Episode: 132; Score: 4.864960732715197; Action: [1 1 1 1 1]
Episode: 133; Score: -0.2; Action: [1 2 2 1 0]
Episode: 134; Score: 0.35; Action: [1 1 0 2 2]
Episode: 135; Score: -0.3500000000000001; Action: [1 1 0 0 0]
Episode: 136; Score: -0.55; Action: [1 2 1 1 1]
Episode: 137; Score: -0.25; Action: [0 1 2 2 2]
Episode: 138; Score: 3.4863379587144685; Action: [2 1 1 2 2]
Episode: 139; Score: 0.55; Action: [2 2 2 2 2]
Episode: 140; Score: 0.09999999999999998; Action: [2 0 2 1 2]
Episode: 141; Score: -0.10000000000000009; Action: [2 2 0 2 1]
Episode: 142; Score: -0.30000000000000004; Action: [0 2 0 2 2]
Episode: 143; Score: -0.25; Action: [2 1 2 2 1]
Episode: 144; Score: 5.560179770741922; Action: [1 1 1 1 1]
Episode: 145; Score: 0.3; Action: [2 2 2 2 1]
Episode: 146; Score: 0.35; Action: [1 2 1 2 2]
Episode: 147; Score: -0.10000000000000009; Action: [0 1 0 2 1]
Episode: 148; Score: -0.30000000000000004; Action: [0 2 1 0 2]
Episode: 149; Score: -0.25; Action: [1 0 1 2 2]
Episode: 150; Score: 4.906874610298834; Action: [1 1 1 1 1]
Episode: 151; Score: 0.04999999999999999; Action: [0 2 1 0 1]
Episode: 152; Score: 0.09999999999999998; Action: [0 2 1 1 2]
Episode: 153; Score: -0.10000000000000009; Action: [1 2 1 1 2]
Episode: 154; Score: -0.050000000000000044; Action: [2 0 1 1 2]
Episode: 155; Score: -0.25; Action: [2 1 2 2 0]
Episode: 156; Score: 2.9274589994417237; Action: [2 1 2 2 2]
Episode: 157; Score: 0.3; Action: [0 1 0 2 0]
Episode: 158; Score: 0.09999999999999998; Action: [0 1 1 1 0]
Episode: 159; Score: -0.10000000000000009; Action: [1 1 2 0 2]
Episode: 160; Score: -0.30000000000000004; Action: [1 2 2 2 2]
Episode: 161; Score: -0.75; Action: [1 0 1 1 1]
Episode: 162; Score: 3.118992988142605; Action: [2 1 2 2 2]
Episode: 163; Score: 0.3; Action: [1 1 1 0 1]
Episode: 164; Score: 0.35; Action: [0 1 1 1 2]
Episode: 165; Score: -0.3500000000000001; Action: [0 1 0 0 1]
Episode: 166; Score: -0.30000000000000004; Action: [2 0 0 2 0]
Episode: 167; Score: -0.25; Action: [2 2 1 2 0]
Episode: 168; Score: 5.280414607942111; Action: [1 1 1 1 1]
Episode: 169; Score: 0.04999999999999999; Action: [1 1 2 1 0]
Episode: 170; Score: -0.4; Action: [1 2 0 0 0]
Episode: 171; Score: -0.6000000000000001; Action: [0 0 2 0 0]
Episode: 172; Score: -0.30000000000000004; Action: [0 1 1 1 1]
Episode: 173; Score: -0.25; Action: [2 2 1 2 1]
Episode: 174; Score: 2.9182220069227154; Action: [2 1 2 2 2]
Episode: 175; Score: 0.04999999999999999; Action: [0 1 0 1 1]
Episode: 176; Score: 0.09999999999999998; Action: [2 2 1 0 1]
Episode: 177; Score: -0.3500000000000001; Action: [0 2 2 2 1]
Episode: 178; Score: -0.30000000000000004; Action: [2 2 0 0 2]
Episode: 179; Score: -0.5; Action: [0 0 1 1 2]
Episode: 180; Score: 3.210018587424813; Action: [2 1 2 2 2]
Episode: 181; Score: 0.04999999999999999; Action: [1 0 0 2 0]
Episode: 182; Score: -0.15000000000000002; Action: [0 1 2 0 1]
Episode: 183; Score: -0.3500000000000001; Action: [1 0 1 1 0]
Episode: 184; Score: -0.55; Action: [2 0 2 0 1]
Episode: 185; Score: -0.75; Action: [0 0 2 0 2]
Episode: 186; Score: 3.268190461682001; Action: [2 1 1 2 2]
Episode: 187; Score: 1.3308565070671727; Action: [0 0 0 0 0]
Episode: 188; Score: 0.04999999999999999; Action: [1 2 2 2 0]
Episode: 189; Score: -0.15000000000000002; Action: [0 1 2 0 0]
Episode: 190; Score: -0.3500000000000001; Action: [2 0 0 1 0]
Episode: 191; Score: -0.30000000000000004; Action: [1 0 1 2 1]
Episode: 192; Score: 3.5282946068829615; Action: [2 1 1 2 2]
Episode: 193; Score: 0.3; Action: [2 2 2 2 0]
Episode: 194; Score: -0.4; Action: [1 0 0 0 1]
Episode: 195; Score: -0.3500000000000001; Action: [1 0 0 0 2]
Episode: 196; Score: -0.30000000000000004; Action: [2 0 0 0 2]
Episode: 197; Score: -0.75; Action: [1 0 2 0 2]
Episode: 198; Score: 3.3038490028505665; Action: [2 1 2 2 2]
Episode: 199; Score: 0.04999999999999999; Action: [1 2 1 0 1]
Episode: 200; Score: 1.0; Action: [2 1 1 2 0]
Episode: 201; Score: 0.3; Action: [1 1 0 2 0]
Episode: 202; Score: -0.4; Action: [1 2 0 1 0]
Episode: 203; Score: 1.0; Action: [2 2 1 2 2]
Episode: 204; Score: 2.9183896968248852; Action: [2 1 2 2 2]
Episode: 205; Score: 0.3; Action: [2 0 0 1 2]
Episode: 206; Score: -0.15000000000000002; Action: [0 1 2 1 0]
Episode: 207; Score: -0.10000000000000009; Action: [2 0 1 1 1]
Episode: 208; Score: -0.55; Action: [1 1 0 1 1]
Episode: 209; Score: -0.75; Action: [1 1 2 0 0]
Episode: 210; Score: 5.226192802670045; Action: [1 1 1 1 1]
Episode: 211; Score: 0.3; Action: [2 2 1 0 0]
Episode: 212; Score: 0.35; Action: [0 2 1 2 2]
Episode: 213; Score: -0.3500000000000001; Action: [1 1 2 0 0]
Episode: 214; Score: -0.30000000000000004; Action: [1 1 0 0 2]
Episode: 215; Score: -0.5; Action: [0 1 2 1 2]
