Episode: 0; Score: [10.13197872]; Action: [-0.42605798]
Episode: 1; Score: [9.487899]; Action: [-0.07077582]
Episode: 2; Score: [5.22157302]; Action: [0.47181984]
Episode: 3; Score: [3.07615602]; Action: [-0.75059422]
Episode: 4; Score: [6.97833601]; Action: [-0.26302385]
Episode: 5; Score: [2.59601287]; Action: [0.78770091]
Episode: 6; Score: [8.18370529]; Action: [-0.50699703]
Episode: 7; Score: [11.02151946]; Action: [0.23315983]
Episode: 8; Score: [10.53501877]; Action: [0.63752944]
Episode: 9; Score: [2.74576676]; Action: [-0.13622921]
Episode: 10; Score: [6.09854609]; Action: [-0.18737651]
Episode: 11; Score: [3.70899374]; Action: [0.14905413]
Episode: 12; Score: [5.8243555]; Action: [-0.34046726]
Episode: 13; Score: [7.36668235]; Action: [0.41026471]
Episode: 14; Score: [8.13084322]; Action: [-0.20393943]
Episode: 15; Score: [8.68950587]; Action: [-0.53574742]
Episode: 16; Score: [6.11008217]; Action: [-0.19590321]
Episode: 17; Score: [6.59985137]; Action: [0.70386404]
Episode: 18; Score: [2.61990052]; Action: [-0.05145976]
Episode: 19; Score: [6.52948172]; Action: [-0.47404037]
Episode: 20; Score: [5.92497545]; Action: [-0.14251258]
Episode: 21; Score: [2.5437217]; Action: [-0.12736785]
Episode: 22; Score: [6.46968696]; Action: [-0.57680501]
Episode: 23; Score: [7.9701722]; Action: [0.27404397]
Episode: 24; Score: [1.48452401]; Action: [0.3173997]
Episode: 25; Score: [8.24813749]; Action: [0.16396429]
Episode: 26; Score: [3.04342497]; Action: [-0.29806978]
Episode: 27; Score: [6.18528662]; Action: [0.84895523]
Episode: 28; Score: [12.089937]; Action: [-0.26185493]
Episode: 29; Score: [2.48933495]; Action: [0.96997631]
Episode: 30; Score: [7.74341969]; Action: [0.60548209]
Episode: 31; Score: [8.30327854]; Action: [0.7297576]
Episode: 32; Score: [1.27220048]; Action: [-0.06154359]
Episode: 33; Score: [5.77126176]; Action: [0.82365431]
Episode: 34; Score: [8.63736621]; Action: [-0.76686098]
Episode: 35; Score: [5.17846455]; Action: [0.11354099]
