Episode: 0; Score: [-8.59354983]; Action: [0.2834499]
Episode: 1; Score: [-8.5000115]; Action: [-0.42422727]
Episode: 2; Score: [-2.8852015]; Action: [0.93263121]
Episode: 3; Score: [-3.37854472]; Action: [-0.4547845]
Episode: 4; Score: [-3.03402025]; Action: [0.68148277]
Episode: 5; Score: [-7.89825816]; Action: [0.27196643]
Episode: 6; Score: [-3.67042734]; Action: [0.22363918]
Episode: 7; Score: [-4.19052874]; Action: [0.07671534]
Episode: 8; Score: [-7.97297801]; Action: [0.49738787]
Episode: 9; Score: [-8.20305516]; Action: [0.63888709]
Episode: 10; Score: [-8.26205602]; Action: [0.69805308]
Episode: 11; Score: [-9.29610706]; Action: [-0.13908238]
Episode: 12; Score: [-3.19521842]; Action: [-0.92023153]
Episode: 13; Score: [-7.18208267]; Action: [-0.1524838]
Episode: 14; Score: [-4.92802559]; Action: [1.]
Episode: 15; Score: [-7.37421265]; Action: [-0.37484775]
Episode: 16; Score: [-7.04755314]; Action: [-0.25461347]
Episode: 17; Score: [-5.04279922]; Action: [-0.74456555]
Episode: 18; Score: [-9.12227441]; Action: [-0.36371143]
Episode: 19; Score: [-7.54099572]; Action: [-0.83002484]
Episode: 20; Score: [-10.48662255]; Action: [-0.51516007]
Episode: 21; Score: [-6.95521709]; Action: [0.70174424]
Episode: 22; Score: [-10.36877148]; Action: [0.46543702]
Episode: 23; Score: [-7.14270836]; Action: [-0.52027693]
Episode: 24; Score: [-7.40919805]; Action: [0.39669232]
Episode: 25; Score: [-3.22366609]; Action: [-0.94968067]
Episode: 26; Score: [-5.26266902]; Action: [0.21391576]
Episode: 27; Score: [-8.06385121]; Action: [-0.65577384]
Episode: 28; Score: [-8.65738721]; Action: [0.92144466]
Episode: 29; Score: [-5.64575407]; Action: [0.09751518]
Episode: 30; Score: [-7.78996144]; Action: [0.32309916]
Episode: 31; Score: [-8.61306894]; Action: [-0.36501937]
Episode: 32; Score: [-2.13265198]; Action: [0.32435457]
Episode: 33; Score: [-3.22944108]; Action: [0.14698379]
Episode: 34; Score: [-8.47098923]; Action: [0.77567402]
Episode: 35; Score: [-6.50103784]; Action: [-0.49744216]
Episode: 36; Score: [-2.29822456]; Action: [0.53879056]
Episode: 37; Score: [-9.5377351]; Action: [0.14837502]
Episode: 38; Score: [-2.63060991]; Action: [-0.43646081]
Episode: 39; Score: [-3.39743263]; Action: [0.5825705]
Episode: 40; Score: [-9.143984]; Action: [-0.84987623]
Episode: 41; Score: [-2.88025237]; Action: [-0.46097865]
Episode: 42; Score: [-2.06931484]; Action: [0.78915934]
Episode: 43; Score: [-3.13714526]; Action: [0.88540079]
Episode: 44; Score: [-7.51804521]; Action: [0.34416931]
Episode: 45; Score: [-10.26827788]; Action: [0.4891399]
Episode: 46; Score: [-4.96531713]; Action: [-1.]
Episode: 47; Score: [-9.85825015]; Action: [-0.25255796]
Episode: 48; Score: [-2.40765619]; Action: [0.00783367]
Episode: 49; Score: [-9.15160035]; Action: [-0.57205781]
Episode: 50; Score: [-2.50500514]; Action: [0.73359507]
Episode: 51; Score: [-11.07470911]; Action: [-0.55487666]
Episode: 52; Score: [-2.02118543]; Action: [-0.71307729]
Episode: 53; Score: [-2.07477569]; Action: [-0.88688142]
Episode: 54; Score: [-6.20763336]; Action: [-0.87192502]
Episode: 55; Score: [-4.94018281]; Action: [-0.41814428]
Episode: 56; Score: [-8.63992288]; Action: [0.38617285]
Episode: 57; Score: [-10.74131984]; Action: [-0.60825182]
Episode: 58; Score: [-4.04490549]; Action: [0.48795859]
Episode: 59; Score: [-4.59049536]; Action: [-0.12028059]
Episode: 60; Score: [-7.00370538]; Action: [-0.55221147]
Episode: 61; Score: [-6.18077824]; Action: [0.17039475]
Episode: 62; Score: [-1.89819001]; Action: [-0.48176011]
Episode: 63; Score: [-10.09918686]; Action: [-0.17892196]
Episode: 64; Score: [-9.53009916]; Action: [0.01790932]
Episode: 65; Score: [-3.50567711]; Action: [0.66369743]
Episode: 66; Score: [-3.87545845]; Action: [1.]
Episode: 67; Score: [-2.91237822]; Action: [0.49584253]
Episode: 68; Score: [-2.50832295]; Action: [0.05198799]
Episode: 69; Score: [-1.85771346]; Action: [-0.08218488]
Episode: 70; Score: [-5.84460296]; Action: [-0.86720823]
Episode: 71; Score: [-7.82954397]; Action: [-0.07515366]
Episode: 72; Score: [-2.46293858]; Action: [0.36342359]
Episode: 73; Score: [-9.81033202]; Action: [0.62048287]
Episode: 74; Score: [-8.52157496]; Action: [0.59503259]
Episode: 75; Score: [-3.70385765]; Action: [-1.]
Episode: 76; Score: [-7.57658551]; Action: [-0.17141288]
Episode: 77; Score: [-7.77669794]; Action: [0.19566921]
Episode: 78; Score: [-8.70069245]; Action: [0.90603445]
Episode: 79; Score: [-2.14986922]; Action: [-0.06572446]
Episode: 80; Score: [-7.48260403]; Action: [0.49752284]
Episode: 81; Score: [-7.2883235]; Action: [0.25887146]
Episode: 82; Score: [-2.90488156]; Action: [0.44836256]
Episode: 83; Score: [-8.2542033]; Action: [0.61972786]
Episode: 84; Score: [-9.81611422]; Action: [-0.50900344]
Episode: 85; Score: [-2.68875095]; Action: [0.76418242]
Episode: 86; Score: [-3.17179208]; Action: [0.95151752]
Episode: 87; Score: [-8.06952931]; Action: [-0.18181455]
Episode: 88; Score: [-7.6662371]; Action: [0.7829736]
Episode: 89; Score: [-8.20959462]; Action: [0.58931185]
Episode: 90; Score: [-7.26861184]; Action: [0.80122437]
Episode: 91; Score: [-8.21450403]; Action: [-1.]
Episode: 92; Score: [-9.98224576]; Action: [0.60517262]
Episode: 93; Score: [-1.97490253]; Action: [0.08551993]
Episode: 94; Score: [-6.4062389]; Action: [-1.]
Episode: 95; Score: [-5.02992808]; Action: [-0.70686838]
Episode: 96; Score: [-5.55812377]; Action: [0.18345123]
Episode: 97; Score: [-2.48950646]; Action: [-0.18854831]
Episode: 98; Score: [-9.9689284]; Action: [-0.65841989]
Episode: 99; Score: [-7.98835266]; Action: [-0.91583101]
Episode: 100; Score: [-3.80971754]; Action: [0.17818532]
Episode: 101; Score: [-2.52271023]; Action: [-0.80596836]
Episode: 102; Score: [-8.50745052]; Action: [0.74452036]
Episode: 103; Score: [-9.77296853]; Action: [0.28368689]
Episode: 104; Score: [-7.64548477]; Action: [0.26540089]
Episode: 105; Score: [-2.38873957]; Action: [0.17373674]
Episode: 106; Score: [-7.71257003]; Action: [0.39149833]
Episode: 107; Score: [-6.08283129]; Action: [-0.57130794]
Episode: 108; Score: [-9.4402975]; Action: [0.04007819]
Episode: 109; Score: [-2.37472842]; Action: [-0.02725428]
Episode: 110; Score: [-4.96520772]; Action: [-0.10973933]
Episode: 111; Score: [-8.64678685]; Action: [-0.41452823]
Episode: 112; Score: [-8.32765717]; Action: [-0.28110517]
Episode: 113; Score: [-7.80294095]; Action: [0.93342561]
Episode: 114; Score: [-6.9320178]; Action: [-0.22308935]
Episode: 115; Score: [-2.89734691]; Action: [0.61408165]
Episode: 116; Score: [-1.87294642]; Action: [0.03033387]
Episode: 117; Score: [-9.2924598]; Action: [0.80430017]
Episode: 118; Score: [-2.26882544]; Action: [-0.51839173]
Episode: 119; Score: [-8.29099737]; Action: [0.41895774]
Episode: 120; Score: [-7.90512905]; Action: [-0.69871633]
Episode: 121; Score: [-6.2918729]; Action: [0.3075513]
Episode: 122; Score: [-7.45484333]; Action: [0.91038874]
Episode: 123; Score: [-4.71529393]; Action: [-0.39937425]
Episode: 124; Score: [-1.93530794]; Action: [0.3491434]
Episode: 125; Score: [-7.50854625]; Action: [0.45335494]
Episode: 126; Score: [-5.04507786]; Action: [-0.24445477]
Episode: 127; Score: [-2.86938045]; Action: [0.37305595]
