Episode: 0; Score: [-8.3525]; Action: [-0.54494858]
Episode: 1; Score: [-9.55292833]; Action: [-0.74241648]
Episode: 2; Score: [-6.37137753]; Action: [-0.65272363]
Episode: 3; Score: [-10.09053458]; Action: [-0.68912814]
Episode: 4; Score: [-2.98106627]; Action: [0.93629603]
Episode: 5; Score: [-1.39428072]; Action: [0.12025889]
Episode: 6; Score: [-7.94638973]; Action: [-0.60643521]
Episode: 7; Score: [-6.70865778]; Action: [0.15630891]
Episode: 8; Score: [-7.62718401]; Action: [-0.57219457]
Episode: 9; Score: [-7.69144053]; Action: [-0.0830826]
Episode: 10; Score: [-4.45033932]; Action: [-1.]
Episode: 11; Score: [-1.43359648]; Action: [-0.01934101]
Episode: 12; Score: [-4.51743778]; Action: [0.4422322]
Episode: 13; Score: [-5.56132535]; Action: [-0.45325744]
Episode: 14; Score: [-8.78589287]; Action: [-0.14529247]
Episode: 15; Score: [-6.3135164]; Action: [0.50432264]
Episode: 16; Score: [-6.0864053]; Action: [0.4425856]
Episode: 17; Score: [-9.56922688]; Action: [-0.84125696]
Episode: 18; Score: [-8.03510809]; Action: [-0.58448614]
Episode: 19; Score: [-7.99064786]; Action: [-0.64830891]
Episode: 20; Score: [-4.25802331]; Action: [0.04201446]
Episode: 21; Score: [-7.05133088]; Action: [-0.17745391]
Episode: 22; Score: [-9.92053346]; Action: [-0.43377883]
Episode: 23; Score: [-8.37259345]; Action: [0.24199505]
Episode: 24; Score: [-11.33808293]; Action: [-0.29438117]
Episode: 25; Score: [-9.69819599]; Action: [-0.79899928]
Episode: 26; Score: [-2.72262347]; Action: [-0.95746169]
Episode: 27; Score: [-9.06475198]; Action: [-0.04493825]
Episode: 28; Score: [-7.42102627]; Action: [-0.3245358]
Episode: 29; Score: [-6.0433985]; Action: [0.19410321]
Episode: 30; Score: [-2.92239459]; Action: [-0.16742619]
Episode: 31; Score: [-8.3494766]; Action: [0.68706403]
Episode: 32; Score: [-2.48718934]; Action: [-0.15877638]
Episode: 33; Score: [-8.80163061]; Action: [-1.]
Episode: 34; Score: [-2.85491543]; Action: [1.]
Episode: 35; Score: [-7.38332032]; Action: [-0.43686219]
Episode: 36; Score: [-10.44581054]; Action: [-0.30700146]
Episode: 37; Score: [-3.44252464]; Action: [0.65406726]
Episode: 38; Score: [-3.45940664]; Action: [0.39635783]
Episode: 39; Score: [-7.72542708]; Action: [0.26380991]
Episode: 40; Score: [-8.27101726]; Action: [-0.46179878]
Episode: 41; Score: [-6.58255475]; Action: [-0.90783368]
