Episode: 0; Score: 1.0; Action: [2 1 1 2 2]
Episode: 1; Score: -0.2; Action: [0 1 2 1 2]
Episode: 2; Score: 1.0; Action: [2 1 2 2 2]
Episode: 3; Score: -0.2; Action: [0 1 1 2 1]
Episode: 4; Score: 5.0; Action: [0 0 0 0 0]
Episode: 5; Score: -0.2; Action: [1 0 0 1 0]
Episode: 6; Score: -0.4; Action: [0 2 0 2 0]
Episode: 7; Score: -0.6000000000000001; Action: [1 0 1 1 2]
Episode: 8; Score: 1.0; Action: [1 1 1 1 1]
Episode: 9; Score: -0.2; Action: [0 0 0 2 2]
Episode: 10; Score: -0.4; Action: [2 1 0 0 2]
Episode: 11; Score: -0.6000000000000001; Action: [2 2 0 1 1]
Episode: 12; Score: 1.0; Action: [2 1 1 2 2]
Episode: 13; Score: -0.2; Action: [1 2 1 0 1]
Episode: 14; Score: -0.4; Action: [2 0 2 1 0]
Episode: 15; Score: -0.6000000000000001; Action: [0 0 2 2 2]
Episode: 16; Score: 1.0; Action: [0 0 0 0 0]
Episode: 17; Score: -0.2; Action: [2 1 0 0 2]
Episode: 18; Score: -0.4; Action: [0 1 2 0 2]
Episode: 19; Score: -0.6000000000000001; Action: [1 2 0 1 2]
Episode: 20; Score: 1.0; Action: [2 1 1 2 2]
Episode: 21; Score: -0.2; Action: [0 1 2 1 2]
Episode: 22; Score: -0.4; Action: [1 2 2 1 2]
Episode: 23; Score: -0.6000000000000001; Action: [0 0 2 1 1]
Episode: 24; Score: 1.0; Action: [1 1 1 1 1]
Episode: 25; Score: -0.2; Action: [0 1 1 1 1]
Episode: 26; Score: -0.4; Action: [2 2 2 0 1]
Episode: 27; Score: -0.6000000000000001; Action: [2 2 0 2 1]
Episode: 28; Score: 1.0; Action: [2 1 1 2 2]
Episode: 29; Score: -0.2; Action: [1 0 2 1 1]
Episode: 30; Score: -0.4; Action: [0 0 0 1 1]
Episode: 31; Score: -0.6000000000000001; Action: [1 2 2 2 1]
Episode: 32; Score: 5.0; Action: [1 1 1 1 1]
Episode: 33; Score: -0.2; Action: [1 1 1 0 2]
Episode: 34; Score: -0.4; Action: [2 2 0 2 1]
Episode: 35; Score: -0.6000000000000001; Action: [2 1 2 1 0]
Episode: 36; Score: 5.0; Action: [0 0 0 0 0]
Episode: 37; Score: -0.2; Action: [1 1 0 2 0]
Episode: 38; Score: -0.4; Action: [0 1 2 0 1]
Episode: 39; Score: -0.6000000000000001; Action: [1 2 0 1 2]
Episode: 40; Score: 1.0; Action: [0 0 0 0 0]
Episode: 41; Score: -0.2; Action: [1 2 1 0 2]
Episode: 42; Score: -0.4; Action: [1 0 0 0 2]
Episode: 43; Score: -0.6000000000000001; Action: [2 1 2 2 0]
Episode: 44; Score: 1.0; Action: [2 1 1 2 2]
Episode: 45; Score: -0.2; Action: [2 1 2 0 0]
Episode: 46; Score: -0.4; Action: [1 2 2 1 2]
Episode: 47; Score: -0.6000000000000001; Action: [0 0 0 1 1]
Episode: 48; Score: 1.0; Action: [2 1 1 2 2]
Episode: 49; Score: -0.2; Action: [2 0 0 2 0]
Episode: 50; Score: -0.4; Action: [1 0 1 1 1]
Episode: 51; Score: -0.6000000000000001; Action: [1 2 1 1 1]
Episode: 52; Score: 1.0; Action: [0 0 0 0 0]
Episode: 53; Score: -0.2; Action: [2 1 2 2 1]
Episode: 54; Score: -0.4; Action: [0 1 1 2 2]
Episode: 55; Score: -0.6000000000000001; Action: [2 0 2 2 2]
Episode: 56; Score: 5.0; Action: [0 0 0 0 0]
Episode: 57; Score: -0.2; Action: [2 0 1 0 1]
Episode: 58; Score: -0.4; Action: [2 0 0 1 0]
Episode: 59; Score: -0.6000000000000001; Action: [1 1 1 0 0]
Episode: 60; Score: 1.0; Action: [1 1 1 1 1]
Episode: 61; Score: -0.2; Action: [1 1 2 1 2]
Episode: 62; Score: -0.4; Action: [1 0 1 1 0]
Episode: 63; Score: -0.6000000000000001; Action: [0 1 2 1 1]
Episode: 64; Score: 1.0; Action: [2 1 1 2 2]
Episode: 65; Score: -0.2; Action: [1 1 1 2 1]
Episode: 66; Score: -0.4; Action: [2 1 1 0 0]
Episode: 67; Score: -0.6000000000000001; Action: [1 2 0 1 2]
Episode: 68; Score: 1.0; Action: [2 1 2 2 2]
Episode: 69; Score: -0.2; Action: [1 2 0 1 2]
Episode: 70; Score: -0.4; Action: [0 1 2 1 1]
Episode: 71; Score: -0.6000000000000001; Action: [2 2 0 2 0]
Episode: 72; Score: 5.0; Action: [0 0 0 0 0]
Episode: 73; Score: -0.2; Action: [0 0 0 2 2]
Episode: 74; Score: -0.4; Action: [0 0 0 1 2]
Episode: 75; Score: -0.6000000000000001; Action: [0 1 2 1 2]
Episode: 76; Score: 1.0; Action: [2 1 1 2 2]
Episode: 77; Score: -0.2; Action: [2 0 2 0 1]
