Episode: 0; Score: [-2.18868309]; Action: [-0.76612314]
Episode: 1; Score: [-6.53523361]; Action: [0.34853157]
Episode: 2; Score: [-10.52406152]; Action: [-0.63224597]
Episode: 3; Score: [-8.62587762]; Action: [-0.90196706]
Episode: 4; Score: [-7.84716218]; Action: [-0.7312018]
Episode: 5; Score: [-9.99022859]; Action: [-0.81140511]
Episode: 6; Score: [-2.76574723]; Action: [0.27369282]
Episode: 7; Score: [-3.91371552]; Action: [1.]
Episode: 8; Score: [-2.51182132]; Action: [-0.55278804]
Episode: 9; Score: [-8.77301657]; Action: [0.90710879]
Episode: 10; Score: [-8.09104348]; Action: [0.94888119]
Episode: 11; Score: [-8.1913881]; Action: [-0.13643864]
Episode: 12; Score: [-8.12550351]; Action: [0.39545028]
Episode: 13; Score: [-9.73991276]; Action: [-0.72410343]
Episode: 14; Score: [-2.02094549]; Action: [-0.14988445]
Episode: 15; Score: [-4.05968738]; Action: [-0.236694]
Episode: 16; Score: [-2.99377978]; Action: [0.84344156]
Episode: 17; Score: [-1.43882496]; Action: [-0.57411426]
Episode: 18; Score: [-7.86687206]; Action: [-0.59531307]
Episode: 19; Score: [-8.5090242]; Action: [0.3882914]
Episode: 20; Score: [-9.31478138]; Action: [0.6055785]
Episode: 21; Score: [-10.63112967]; Action: [-1.]
Episode: 22; Score: [-10.82174821]; Action: [-0.75596844]
Episode: 23; Score: [-2.53384197]; Action: [1.]
Episode: 24; Score: [-8.2559097]; Action: [0.05533831]
Episode: 25; Score: [-8.6303119]; Action: [0.54528956]
Episode: 26; Score: [-2.37819331]; Action: [0.33261693]
Episode: 27; Score: [-6.36096675]; Action: [0.77507806]
Episode: 28; Score: [-3.94939045]; Action: [0.0260086]
Episode: 29; Score: [-4.62115568]; Action: [-0.63559086]
Episode: 30; Score: [-6.47023624]; Action: [-0.51461723]
Episode: 31; Score: [-10.81645421]; Action: [-0.78646193]
Episode: 32; Score: [-7.8730073]; Action: [0.62478355]
Episode: 33; Score: [-2.41643858]; Action: [-1.]
Episode: 34; Score: [-3.06665254]; Action: [0.436791]
Episode: 35; Score: [-8.41408736]; Action: [-0.07886243]
Episode: 36; Score: [-7.55968363]; Action: [0.75529994]
Episode: 37; Score: [-3.15088419]; Action: [0.65610315]
Episode: 38; Score: [-5.61856303]; Action: [0.56096982]
Episode: 39; Score: [-10.39162693]; Action: [-0.57510299]
Episode: 40; Score: [-1.20040871]; Action: [0.60569649]
Episode: 41; Score: [-2.95263522]; Action: [0.82256454]
Episode: 42; Score: [-4.32769096]; Action: [0.57763913]
Episode: 43; Score: [-2.40740102]; Action: [0.42766151]
Episode: 44; Score: [-10.75340572]; Action: [-1.]
Episode: 45; Score: [-3.0351111]; Action: [0.60880225]
Episode: 46; Score: [-8.74892284]; Action: [0.64241348]
Episode: 47; Score: [-6.98534051]; Action: [0.07621267]
Episode: 48; Score: [-11.445261]; Action: [0.44604053]
Episode: 49; Score: [-4.35666316]; Action: [-0.24863529]
Episode: 50; Score: [-2.89520635]; Action: [1.]
Episode: 51; Score: [-2.49277524]; Action: [-0.16201795]
Episode: 52; Score: [-9.86978076]; Action: [-0.21507]
Episode: 53; Score: [-1.95027552]; Action: [0.32067299]
Episode: 54; Score: [-6.63484266]; Action: [0.21901167]
Episode: 55; Score: [-1.80787719]; Action: [0.07618139]
Episode: 56; Score: [-7.69334731]; Action: [0.02605925]
Episode: 57; Score: [-2.20108996]; Action: [-0.79163523]
Episode: 58; Score: [-9.74196008]; Action: [-0.58304547]
Episode: 59; Score: [-6.51626373]; Action: [0.11618151]
Episode: 60; Score: [-9.16926401]; Action: [-0.83265021]
Episode: 61; Score: [-2.73797075]; Action: [0.69743297]
Episode: 62; Score: [-7.9591589]; Action: [-0.37487362]
Episode: 63; Score: [-3.70346969]; Action: [0.82218965]
Episode: 64; Score: [-5.81529757]; Action: [-0.38062109]
Episode: 65; Score: [-7.52191104]; Action: [-0.80005098]
Episode: 66; Score: [-12.27695154]; Action: [-0.61034631]
Episode: 67; Score: [-8.71478071]; Action: [0.37670348]
Episode: 68; Score: [-7.64355422]; Action: [0.56414608]
Episode: 69; Score: [-1.57332553]; Action: [0.20348888]
