Episode: 0; Score: [2.21683864]; Action: [-0.82414187]
Episode: 1; Score: [10.49697804]; Action: [-0.99185581]
Episode: 2; Score: [6.75193048]; Action: [0.52390387]
Episode: 3; Score: [2.52629145]; Action: [-0.49517013]
Episode: 4; Score: [2.47570764]; Action: [0.3256815]
Episode: 5; Score: [7.91112464]; Action: [-0.63179708]
Episode: 6; Score: [8.13540769]; Action: [0.19580276]
Episode: 7; Score: [5.88955824]; Action: [0.1565488]
Episode: 8; Score: [4.3202041]; Action: [0.98799584]
Episode: 9; Score: [1.63684746]; Action: [0.27565193]
Episode: 10; Score: [4.85433548]; Action: [-0.65449903]
Episode: 11; Score: [2.60197136]; Action: [-0.67988364]
Episode: 12; Score: [11.72386058]; Action: [-0.95882033]
Episode: 13; Score: [11.03019206]; Action: [-0.61381278]
Episode: 14; Score: [2.83161883]; Action: [0.84114415]
Episode: 15; Score: [7.9036134]; Action: [-0.00170923]
Episode: 16; Score: [2.51586519]; Action: [-0.24155745]
Episode: 17; Score: [2.31575715]; Action: [0.94788014]
Episode: 18; Score: [3.88857444]; Action: [0.51575348]
Episode: 19; Score: [3.40271026]; Action: [1.]
Episode: 20; Score: [6.03137203]; Action: [-0.63351066]
Episode: 21; Score: [6.09957374]; Action: [0.19886225]
Episode: 22; Score: [7.11013102]; Action: [0.65362389]
Episode: 23; Score: [4.10934571]; Action: [-0.04773392]
Episode: 24; Score: [5.64859907]; Action: [-0.21451839]
Episode: 25; Score: [8.84876775]; Action: [0.62696979]
Episode: 26; Score: [6.76429002]; Action: [1.]
Episode: 27; Score: [9.66097366]; Action: [0.59193145]
Episode: 28; Score: [9.95079833]; Action: [0.58794835]
Episode: 29; Score: [5.59624132]; Action: [0.51516328]
Episode: 30; Score: [6.84161568]; Action: [-0.66285909]
Episode: 31; Score: [10.87965789]; Action: [0.32784287]
Episode: 32; Score: [3.03987709]; Action: [0.69109947]
Episode: 33; Score: [7.51516954]; Action: [-0.44984444]
Episode: 34; Score: [5.84282984]; Action: [0.87393155]
Episode: 35; Score: [4.61044001]; Action: [0.63962934]
Episode: 36; Score: [7.23406929]; Action: [0.77143429]
Episode: 37; Score: [3.01695404]; Action: [-0.83936383]
Episode: 38; Score: [4.70556963]; Action: [0.34252009]
Episode: 39; Score: [1.42513465]; Action: [0.18899091]
Episode: 40; Score: [8.74417941]; Action: [0.82174666]
Episode: 41; Score: [5.12580111]; Action: [0.85881607]
Episode: 42; Score: [11.45283474]; Action: [-1.]
Episode: 43; Score: [3.29004458]; Action: [-0.44226138]
Episode: 44; Score: [10.57626976]; Action: [-0.07829133]
Episode: 45; Score: [7.42888845]; Action: [-0.92744135]
Episode: 46; Score: [8.05396217]; Action: [0.22956537]
Episode: 47; Score: [8.18604924]; Action: [-0.2538109]
Episode: 48; Score: [8.77336079]; Action: [-0.43355206]
Episode: 49; Score: [2.6453912]; Action: [0.17828089]
Episode: 50; Score: [2.94020799]; Action: [0.58978349]
Episode: 51; Score: [9.03563915]; Action: [0.475652]
Episode: 52; Score: [2.21956327]; Action: [0.2901513]
Episode: 53; Score: [3.72566555]; Action: [0.61000567]
Episode: 54; Score: [8.29354971]; Action: [0.26877707]
Episode: 55; Score: [8.79355743]; Action: [-0.17482707]
Episode: 56; Score: [11.38695548]; Action: [-0.26746988]
Episode: 57; Score: [4.31047866]; Action: [0.57877471]
Episode: 58; Score: [9.16509085]; Action: [-1.]
Episode: 59; Score: [2.24516604]; Action: [-0.02353707]
Episode: 60; Score: [2.0100286]; Action: [-0.42883984]
Episode: 61; Score: [2.35770796]; Action: [-0.20400316]
Episode: 62; Score: [8.15822897]; Action: [0.4854245]
Episode: 63; Score: [9.45309573]; Action: [-0.27272978]
Episode: 64; Score: [2.19157205]; Action: [-0.17064351]
Episode: 65; Score: [8.42586332]; Action: [-0.81180618]
Episode: 66; Score: [2.24507852]; Action: [0.3963583]
Episode: 67; Score: [6.55900075]; Action: [-0.46459839]
Episode: 68; Score: [1.70836613]; Action: [0.18913262]
Episode: 69; Score: [7.07667887]; Action: [-0.85670305]
Episode: 70; Score: [3.16570362]; Action: [0.80063954]
Episode: 71; Score: [6.8742703]; Action: [-0.7323594]
Episode: 72; Score: [5.01856393]; Action: [-0.52073695]
Episode: 73; Score: [9.53198465]; Action: [0.69403]
Episode: 74; Score: [2.87672529]; Action: [-0.11414346]
Episode: 75; Score: [7.59872785]; Action: [0.55097021]
Episode: 76; Score: [2.06259769]; Action: [0.56557251]
Episode: 77; Score: [2.76317603]; Action: [0.12905223]
Episode: 78; Score: [6.15167986]; Action: [0.69414672]
Episode: 79; Score: [3.31560654]; Action: [0.20623156]
Episode: 80; Score: [8.38187679]; Action: [0.42879878]
Episode: 81; Score: [7.39505343]; Action: [0.79723547]
