run,epoch,train_loss,train_duration_s,validation_loss,validation_duration_s,epoch_duration_s,test_loss,test_duration
0,1,123.0303,2.37,73.9176,1.91,4.28,-1,-1
0,2,60.5936,2.33,63.3932,2.02,4.35,-1,-1
0,3,54.7238,2.26,63.5591,1.93,4.19,-1,-1
0,4,49.8605,2.33,52.5678,1.97,4.30,-1,-1
0,5,44.1287,2.37,35.7367,1.94,4.31,-1,-1
0,6,33.5934,2.27,35.3088,1.95,4.22,-1,-1
0,7,24.7156,2.42,23.9494,1.95,4.37,-1,-1
0,8,16.7687,2.31,20.9968,1.95,4.26,-1,-1
0,9,14.5953,2.27,15.3313,2.04,4.31,-1,-1
0,10,11.6687,2.22,16.7470,1.96,4.18,-1,-1
0,11,10.9696,2.16,16.9868,1.92,4.08,-1,-1
0,12,9.7301,2.27,16.7423,2.02,4.29,-1,-1
0,13,8.7543,2.33,16.4977,1.97,4.30,-1,-1
0,14,8.1595,2.31,16.3304,1.97,4.28,-1,-1
0,15,7.0907,2.27,16.3725,2.04,4.31,-1,-1
0,16,6.1128,2.39,16.4585,2.01,4.40,-1,-1
0,17,5.8527,2.32,18.5194,1.94,4.26,-1,-1
0,18,5.6172,2.32,17.5028,1.92,4.24,-1,-1
0,19,4.8855,2.29,17.1732,1.97,4.25,-1,-1
0,20,4.0147,2.21,16.1874,1.95,4.17,-1,-1
0,-1,4.0147,-1,16.1874,-1,-1,20.7729,2.03
1,1,5.5155,2.35,18.4867,2.02,4.37,-1,-1
1,2,3.3407,2.37,17.2008,2.00,4.37,-1,-1
1,3,2.8742,2.26,17.4322,1.97,4.22,-1,-1
1,4,2.5542,2.37,18.2840,2.05,4.42,-1,-1
1,5,2.4323,2.38,18.0438,2.00,4.38,-1,-1
1,6,2.0215,2.34,19.2545,2.00,4.35,-1,-1
1,7,3.0557,2.35,18.9912,2.04,4.39,-1,-1
1,8,2.1842,2.42,18.4336,2.13,4.55,-1,-1
1,9,1.6112,2.44,18.5829,1.98,4.42,-1,-1
1,10,1.4456,2.26,19.9794,1.96,4.22,-1,-1
1,11,1.4624,2.43,18.4322,1.99,4.42,-1,-1
1,12,1.4958,2.34,19.4999,1.95,4.29,-1,-1
1,13,1.0217,2.38,18.7565,1.99,4.38,-1,-1
1,14,0.8096,2.34,19.9104,1.98,4.32,-1,-1
1,15,0.7260,2.29,19.4688,1.96,4.25,-1,-1
1,16,0.5076,2.35,19.4154,1.93,4.28,-1,-1
1,17,0.5118,2.29,19.8977,2.00,4.29,-1,-1
1,18,0.5353,2.56,20.2363,2.07,4.63,-1,-1
1,19,0.4066,2.43,19.8255,2.11,4.54,-1,-1
1,20,0.4435,2.35,19.6831,1.99,4.34,-1,-1
1,-1,0.4435,-1,19.6831,-1,-1,21.7074,2.38
