Episode: 0; Score: [-10.77777071]; Action: [-0.43688854]
Episode: 1; Score: [-9.59512435]; Action: [-0.29673122]
Episode: 2; Score: [-7.54300104]; Action: [0.29465616]
Episode: 3; Score: [-6.98310142]; Action: [-0.34852694]
Episode: 4; Score: [-2.90565789]; Action: [1.]
Episode: 5; Score: [-9.16325284]; Action: [-0.27205858]
Episode: 6; Score: [-5.54553096]; Action: [0.36412357]
Episode: 7; Score: [-8.64876404]; Action: [-0.13343702]
Episode: 8; Score: [-9.16708171]; Action: [0.0495868]
Episode: 9; Score: [-9.69027007]; Action: [0.07328536]
Episode: 10; Score: [-10.34434403]; Action: [-0.02152631]
Episode: 11; Score: [-4.3293499]; Action: [0.56753935]
Episode: 12; Score: [-1.55135072]; Action: [-0.87115875]
Episode: 13; Score: [-8.31933944]; Action: [-0.37988537]
Episode: 14; Score: [-2.6893836]; Action: [-0.50519895]
Episode: 15; Score: [-6.67962352]; Action: [0.90984406]
Episode: 16; Score: [-6.11969968]; Action: [-0.41156229]
Episode: 17; Score: [-9.96035297]; Action: [-0.70628806]
Episode: 18; Score: [-5.73102102]; Action: [0.28851392]
Episode: 19; Score: [-8.94023714]; Action: [0.3327693]
Episode: 20; Score: [-2.5005538]; Action: [0.42834204]
Episode: 21; Score: [-3.71239407]; Action: [0.15164227]
Episode: 22; Score: [-2.55730284]; Action: [1.]
Episode: 23; Score: [-1.72917146]; Action: [-0.89929927]
Episode: 24; Score: [-3.29750646]; Action: [0.68009732]
Episode: 25; Score: [-5.68082184]; Action: [-0.4421358]
Episode: 26; Score: [-2.78296472]; Action: [0.14525206]
Episode: 27; Score: [-5.04286213]; Action: [-0.91676411]
Episode: 28; Score: [-7.79416529]; Action: [-0.12750664]
Episode: 29; Score: [-9.27275662]; Action: [0.46277153]
Episode: 30; Score: [-9.72113014]; Action: [-0.82757095]
Episode: 31; Score: [-2.38314326]; Action: [-0.63290873]
Episode: 32; Score: [-8.76019423]; Action: [-0.36321509]
Episode: 33; Score: [-8.13777824]; Action: [0.39733755]
Episode: 34; Score: [-4.22323144]; Action: [0.89520678]
Episode: 35; Score: [-8.19522835]; Action: [-0.45422828]
Episode: 36; Score: [-9.85792648]; Action: [-0.47567688]
Episode: 37; Score: [-2.77666039]; Action: [-0.46128402]
Episode: 38; Score: [-3.20591691]; Action: [0.21950818]
Episode: 39; Score: [-2.05062021]; Action: [-0.43341157]
Episode: 40; Score: [-10.41607124]; Action: [-0.00611775]
Episode: 41; Score: [-4.56831212]; Action: [0.00409928]
Episode: 42; Score: [-2.97765627]; Action: [0.10519997]
Episode: 43; Score: [-6.45480029]; Action: [0.08633102]
Episode: 44; Score: [-6.80757097]; Action: [-1.]
Episode: 45; Score: [-5.78977228]; Action: [0.80470699]
Episode: 46; Score: [-6.62060144]; Action: [0.54075669]
Episode: 47; Score: [-3.28872699]; Action: [-0.72872265]
Episode: 48; Score: [-2.95876701]; Action: [0.07700436]
Episode: 49; Score: [-4.44430405]; Action: [-0.16060573]
Episode: 50; Score: [-9.83141533]; Action: [-0.8008824]
Episode: 51; Score: [-8.8076725]; Action: [0.06702657]
Episode: 52; Score: [-9.92129029]; Action: [-0.32706855]
Episode: 53; Score: [-4.8020417]; Action: [0.93223859]
Episode: 54; Score: [-1.91398625]; Action: [-0.70766913]
Episode: 55; Score: [-4.21177275]; Action: [0.31314622]
Episode: 56; Score: [-10.18294753]; Action: [-0.21673567]
Episode: 57; Score: [-8.03056374]; Action: [-0.37291582]
Episode: 58; Score: [-3.07904551]; Action: [-1.]
Episode: 59; Score: [-2.78561096]; Action: [-0.80497988]
Episode: 60; Score: [-7.6063406]; Action: [-0.96489916]
Episode: 61; Score: [-5.30239746]; Action: [0.60864295]
Episode: 62; Score: [-5.47809472]; Action: [0.19107502]
Episode: 63; Score: [-0.81048406]; Action: [0.00812174]
Episode: 64; Score: [-7.54724829]; Action: [-0.98754061]
Episode: 65; Score: [-6.90287128]; Action: [0.34717633]
Episode: 66; Score: [-8.24674332]; Action: [-0.09131015]
Episode: 67; Score: [-9.06885732]; Action: [-0.04721828]
Episode: 68; Score: [-10.75936771]; Action: [-0.52267906]
Episode: 69; Score: [-8.74817669]; Action: [-0.2746302]
Episode: 70; Score: [-1.60163843]; Action: [0.39938103]
Episode: 71; Score: [-2.90900106]; Action: [0.888733]
Episode: 72; Score: [-9.12407898]; Action: [0.7240716]
Episode: 73; Score: [-5.50587265]; Action: [-0.23215759]
Episode: 74; Score: [-7.38260415]; Action: [-0.74014552]
Episode: 75; Score: [-4.96694023]; Action: [0.70574195]
Episode: 76; Score: [-2.33309241]; Action: [0.16424849]
Episode: 77; Score: [-8.81491158]; Action: [-0.82833839]
Episode: 78; Score: [-6.78640111]; Action: [-0.15177707]
Episode: 79; Score: [-3.0113167]; Action: [0.73447531]
Episode: 80; Score: [-2.21968719]; Action: [-0.65836441]
Episode: 81; Score: [-11.63321704]; Action: [-0.77188447]
Episode: 82; Score: [-3.13522761]; Action: [0.08902194]
Episode: 83; Score: [-8.94141969]; Action: [-0.31589207]
Episode: 84; Score: [-2.73259636]; Action: [0.23938234]
Episode: 85; Score: [-3.99965879]; Action: [0.40246306]
Episode: 86; Score: [-10.26960886]; Action: [-0.63565867]
Episode: 87; Score: [-7.04903926]; Action: [-0.56517209]
Episode: 88; Score: [-4.07996449]; Action: [1.]
Episode: 89; Score: [-2.28801169]; Action: [0.38299431]
Episode: 90; Score: [-2.34616389]; Action: [0.44776255]
