Episode: 0; Score: [-9.28266859]; Action: [0.52045718]
Episode: 1; Score: [-7.51352091]; Action: [0.41133341]
Episode: 2; Score: [-2.47227396]; Action: [0.34498413]
Episode: 3; Score: [-3.31605311]; Action: [0.4047517]
Episode: 4; Score: [-7.92908771]; Action: [-0.13009989]
Episode: 5; Score: [-6.0194306]; Action: [-0.59004325]
Episode: 6; Score: [-2.84225133]; Action: [0.68006842]
Episode: 7; Score: [-2.2035903]; Action: [0.53166813]
Episode: 8; Score: [-10.88013775]; Action: [-0.8241792]
Episode: 9; Score: [-2.51355564]; Action: [-1.]
Episode: 10; Score: [-6.31234715]; Action: [-0.40828507]
Episode: 11; Score: [-1.72371109]; Action: [0.71170806]
Episode: 12; Score: [-10.49504665]; Action: [-0.50763212]
Episode: 13; Score: [-4.39135899]; Action: [0.38063419]
Episode: 14; Score: [-5.8715249]; Action: [0.22068887]
Episode: 15; Score: [-6.10046036]; Action: [0.65497186]
Episode: 16; Score: [-10.78935562]; Action: [-0.26127969]
Episode: 17; Score: [-3.14905388]; Action: [0.82470748]
Episode: 18; Score: [-7.63284946]; Action: [0.56494025]
Episode: 19; Score: [-7.76286185]; Action: [0.04802016]
Episode: 20; Score: [-4.99417767]; Action: [-0.68114841]
Episode: 21; Score: [-4.22517686]; Action: [0.78867927]
Episode: 22; Score: [-8.69921851]; Action: [0.82677082]
Episode: 23; Score: [-9.98329175]; Action: [-0.360227]
Episode: 24; Score: [-10.30125946]; Action: [-0.77751596]
Episode: 25; Score: [-9.19002307]; Action: [-0.65654617]
Episode: 26; Score: [-9.37337417]; Action: [0.94143307]
Episode: 27; Score: [-3.53635987]; Action: [-0.93799876]
Episode: 28; Score: [-6.44559668]; Action: [-0.26872727]
Episode: 29; Score: [-10.4200453]; Action: [-0.33461065]
Episode: 30; Score: [-8.30273108]; Action: [-0.39636065]
Episode: 31; Score: [-7.69795703]; Action: [-0.71822686]
Episode: 32; Score: [-4.70468759]; Action: [0.05223513]
Episode: 33; Score: [-3.14535947]; Action: [-0.70002122]
Episode: 34; Score: [-11.1624874]; Action: [-0.33464468]
Episode: 35; Score: [-2.45257495]; Action: [0.54924159]
Episode: 36; Score: [-5.24760458]; Action: [0.29766604]
Episode: 37; Score: [-5.86720122]; Action: [-0.10041669]
Episode: 38; Score: [-4.21085557]; Action: [-0.06682163]
Episode: 39; Score: [-4.50366284]; Action: [-0.1511748]
Episode: 40; Score: [-1.97382274]; Action: [0.15554355]
Episode: 41; Score: [-7.79269562]; Action: [0.50078818]
Episode: 42; Score: [-2.80994243]; Action: [0.79367085]
Episode: 43; Score: [-9.59584559]; Action: [-0.71339108]
Episode: 44; Score: [-6.15864198]; Action: [0.07529576]
Episode: 45; Score: [-4.3141184]; Action: [0.08064148]
Episode: 46; Score: [-10.63730647]; Action: [-0.65543167]
Episode: 47; Score: [-2.48117745]; Action: [-0.10760528]
Episode: 48; Score: [-7.22368563]; Action: [-0.36826845]
Episode: 49; Score: [-1.84062975]; Action: [-0.37077737]
Episode: 50; Score: [-4.6182217]; Action: [-0.39054127]
Episode: 51; Score: [-8.42796642]; Action: [-0.27232489]
Episode: 52; Score: [-5.20326439]; Action: [-0.34540943]
Episode: 53; Score: [-1.95432777]; Action: [-0.58363623]
Episode: 54; Score: [-7.613607]; Action: [-0.65685738]
Episode: 55; Score: [-7.04315631]; Action: [0.81583233]
Episode: 56; Score: [-4.68820574]; Action: [-0.41623008]
Episode: 57; Score: [-4.91617133]; Action: [-0.86021846]
Episode: 58; Score: [-2.29041722]; Action: [0.19509316]
Episode: 59; Score: [-7.66169514]; Action: [0.05404243]
Episode: 60; Score: [-7.63221963]; Action: [-0.39341105]
Episode: 61; Score: [-10.20971577]; Action: [-0.79701461]
Episode: 62; Score: [-3.93885388]; Action: [0.73664006]
Episode: 63; Score: [-1.4175017]; Action: [0.38954088]
Episode: 64; Score: [-1.85230502]; Action: [0.67127512]
Episode: 65; Score: [-2.68818479]; Action: [0.21551609]
Episode: 66; Score: [-2.76849453]; Action: [-0.35607039]
Episode: 67; Score: [-7.65091259]; Action: [0.73757803]
Episode: 68; Score: [-8.4850653]; Action: [-0.60278112]
Episode: 69; Score: [-10.18847056]; Action: [-0.73861703]
Episode: 70; Score: [-5.2387338]; Action: [-1.]
Episode: 71; Score: [-7.94046559]; Action: [-0.46792525]
Episode: 72; Score: [-7.56618599]; Action: [-0.69185547]
Episode: 73; Score: [-7.60885901]; Action: [0.16417773]
Episode: 74; Score: [-8.67750525]; Action: [-0.21875688]
Episode: 75; Score: [-9.40871277]; Action: [0.33983159]
Episode: 76; Score: [-4.02337204]; Action: [0.55447415]
Episode: 77; Score: [-2.24304864]; Action: [0.18867877]
Episode: 78; Score: [-7.60627329]; Action: [0.86310959]
Episode: 79; Score: [-7.96069446]; Action: [-0.32988477]
Episode: 80; Score: [-6.93107005]; Action: [0.50788439]
Episode: 81; Score: [-9.17085714]; Action: [-0.9035068]
Episode: 82; Score: [-2.15372966]; Action: [-0.05627489]
Episode: 83; Score: [-6.36774529]; Action: [0.00396325]
Episode: 84; Score: [-2.97614372]; Action: [-0.68086524]
Episode: 85; Score: [-8.82480117]; Action: [0.33318098]
Episode: 86; Score: [-8.63712953]; Action: [0.0036599]
Episode: 87; Score: [-7.12810554]; Action: [0.82181152]
Episode: 88; Score: [-9.73836502]; Action: [-1.]
Episode: 89; Score: [-3.080256]; Action: [0.24175331]
Episode: 90; Score: [-7.13363623]; Action: [0.44967438]
Episode: 91; Score: [-2.64449771]; Action: [0.47490208]
Episode: 92; Score: [-8.43791577]; Action: [-0.70386996]
